Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Tracking Ratio [%]	Category Group	Category	Eye L/R	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Fixation Average Pupil Size X [px]	Fixation Average Pupil Size Y [px]	Fixation Average Pupil Diameter [mm]	Fixation Dispersion X [px]	Fixation Dispersion Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	AOI Name	Port Status	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Information	Separator	-	1	0.0	-	1714650015186.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	afab807d9dc3c5b01f74687b25f4fcb0_1920x1080.jpg
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	1	24.1	48.0	1714650015210.9	1714650015234.8	23.9	-	-	-	-	-	-	-	322.4	125.1	314.5	140.6	0.6	751.4	1346.4	-1152.5	27.0	46.2	66.9	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	1	48.0	332.3	1714650015234.8	1714650015519.1	284.3	305.1	121.0	3.3	3.3	3.3	56.6	57.7	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	2	332.3	372.0	1714650015519.1	1714650015558.8	39.7	-	-	-	-	-	-	-	312.3	116.8	424.5	118.5	2.1	2871.5	4498.3	-4132.3	52.4	111.6	39.6	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	2	372.0	663.9	1714650015558.8	1714650015850.7	291.9	425.9	116.5	3.2	3.2	3.2	22.8	18.7	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	3	663.9	700.0	1714650015850.7	1714650015886.8	36.1	-	-	-	-	-	-	-	425.0	126.2	518.4	109.6	1.7	2725.2	3953.0	-3335.6	46.9	80.5	33.2	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	3	700.0	1131.7	1714650015886.8	1714650016318.6	431.8	517.7	117.4	3.2	3.2	3.2	74.4	32.9	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	4	1131.7	1159.9	1714650016318.6	1714650016346.8	28.2	-	-	-	-	-	-	-	485.4	110.7	594.2	112.0	1.9	4550.8	6133.8	-6063.9	68.0	130.6	42.5	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	4	1159.9	1323.8	1714650016346.8	1714650016510.6	163.8	587.3	120.3	3.3	3.3	3.3	13.0	21.2	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	5	1323.8	1351.9	1714650016510.6	1714650016538.7	28.1	-	-	-	-	-	-	-	582.4	123.8	684.1	127.1	1.8	4434.7	5938.9	-6107.5	65.4	137.8	56.6	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	5	1351.9	1563.7	1714650016538.7	1714650016750.5	211.8	694.9	119.4	3.3	3.3	3.3	23.3	17.3	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	6	1563.7	1587.7	1714650016750.5	1714650016774.5	24.0	-	-	-	-	-	-	-	695.1	120.6	783.2	124.0	1.6	3801.1	5337.7	-4826.0	65.0	129.0	50.1	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	6	1587.7	1807.6	1714650016774.5	1714650016994.4	219.9	792.5	118.5	3.2	3.2	3.2	24.8	22.7	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	7	1807.6	1839.6	1714650016994.4	1714650017026.4	32.0	-	-	-	-	-	-	-	797.6	110.7	898.5	118.4	1.9	4082.4	5778.3	-5632.6	60.5	127.0	37.5	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	7	1839.6	2227.4	1714650017026.4	1714650017414.2	387.8	902.3	123.0	3.2	3.2	3.2	48.4	21.7	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	8	2227.4	2267.6	1714650017414.2	1714650017454.4	40.2	-	-	-	-	-	-	-	903.4	122.3	757.3	111.0	2.7	4490.1	6690.1	-7913.7	67.2	163.2	59.7	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	8	2267.6	2495.4	1714650017454.4	1714650017682.2	227.8	764.3	112.5	3.2	3.2	3.2	19.9	21.6	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	9	2495.4	2527.4	1714650017682.2	1714650017714.2	32.0	-	-	-	-	-	-	-	765.3	112.0	930.6	116.7	3.0	6958.7	9739.0	-9571.8	94.1	218.9	50.0	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	10	2543.4	2567.4	1714650017730.2	1714650017754.2	24.0	-	-	-	-	-	-	-	917.0	123.8	935.4	156.8	0.7	849.9	1069.1	-1086.5	29.6	40.7	33.6	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	9	2567.4	2679.3	1714650017754.2	1714650017866.1	112.0	922.4	164.8	3.0	3.0	3.0	20.8	12.0	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	11	2679.3	2711.4	1714650017866.1	1714650017898.2	32.0	-	-	-	-	-	-	-	928.8	166.6	1047.6	165.8	2.3	4870.7	6724.9	-6533.8	70.6	146.3	50.0	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	10	2711.4	3075.3	1714650017898.2	1714650018262.2	364.0	1078.0	131.9	3.2	3.2	3.2	61.8	44.8	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	12	3075.3	3115.3	1714650018262.2	1714650018302.1	39.9	-	-	-	-	-	-	-	1096.9	125.3	1224.9	130.6	2.3	3832.8	6133.2	-5177.2	58.3	128.6	39.8	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	11	3115.3	3303.3	1714650018302.1	1714650018490.1	188.0	1240.6	132.2	3.0	3.0	3.0	28.4	26.4	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	13	3303.3	3339.1	1714650018490.1	1714650018526.0	35.9	-	-	-	-	-	-	-	1242.7	119.4	1372.3	117.3	2.1	3106.0	4452.0	-3837.9	58.9	95.1	44.5	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	12	3339.1	3571.2	1714650018526.0	1714650018758.0	232.1	1362.8	121.1	3.0	3.0	3.0	29.0	12.2	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	14	3571.2	3607.1	1714650018758.0	1714650018793.9	35.9	-	-	-	-	-	-	-	1367.7	127.1	1485.8	118.5	2.2	3865.6	5596.8	-5336.7	62.1	127.8	44.8	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	13	3607.1	3795.1	1714650018793.9	1714650018981.9	188.0	1505.0	91.4	2.9	2.9	2.9	29.9	42.8	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	15	3795.1	3819.1	1714650018981.9	1714650019005.9	24.0	-	-	-	-	-	-	-	1510.5	97.3	1566.0	100.9	1.0	2058.0	2800.9	-2869.1	42.1	73.2	50.0	-	-	-	-	-	-	-	-	-	-
