subject,trial_id,item,condition,fixation_number,duration,start_time,end_time,corrected_start_time,corrected_end_time,x,y,subject_trialID,distance_in_char_widths,blink,y_compare,line_num_compare,y_attach,line_num_attach,y_segment,line_num_segment,y_split,line_num_split,y_stretch,line_num_stretch,y_slice,line_num_slice,y_warp,line_num_warp,y_chain,line_num_chain,y_regress,line_num_regress,y_cluster,line_num_cluster,y_merge,line_num_merge,y_Wisdom_of_Crowds,y_Wisdom_of_Crowds_correction,line_num_y_Wisdom_of_Crowds,line_num_Wisdom_of_Crowds,line_change_Wisdom_of_Crowds,letternum_Wisdom_of_Crowds,letter_Wisdom_of_Crowds,line_let_Wisdom_of_Crowds,on_word_number_Wisdom_of_Crowds,on_word_Wisdom_of_Crowds,word_land_Wisdom_of_Crowds,line_word_Wisdom_of_Crowds,num_words_in_sentence,on_sentence_num_Wisdom_of_Crowds,on_sentence_Wisdom_of_Crowds,sac_in_Wisdom_of_Crowds,sac_out_Wisdom_of_Crowds,word_launch_Wisdom_of_Crowds,word_refix_Wisdom_of_Crowds,sentence_refix_Wisdom_of_Crowds,word_reg_out_Wisdom_of_Crowds,word_reg_in_Wisdom_of_Crowds,word_reg_out_to_Wisdom_of_Crowds,sentence_reg_in_from_Wisdom_of_Crowds,word_reg_in_from_Wisdom_of_Crowds,sentence_reg_in_Wisdom_of_Crowds,sentence_reg_out_Wisdom_of_Crowds,sentence_reg_out_to_Wisdom_of_Crowds,word_firstskip_Wisdom_of_Crowds,sentence_firstskip_Wisdom_of_Crowds,word_runid_Wisdom_of_Crowds,sentence_runid_Wisdom_of_Crowds,word_fix_Wisdom_of_Crowds,sentence_fix_Wisdom_of_Crowds,word_run_Wisdom_of_Crowds,sentence_run_Wisdom_of_Crowds,word_run_fix_Wisdom_of_Crowds,sentence_run_fix_Wisdom_of_Crowds,word_cland_Wisdom_of_Crowds,y_compare_correction,line_change_compare,letternum_compare,letter_compare,line_let_compare,on_word_number_compare,on_word_compare,word_land_compare,line_word_compare,on_sentence_num_compare,on_sentence_compare,sac_in_compare,sac_out_compare,word_launch_compare,word_refix_compare,sentence_refix_compare,sentence_reg_in_compare,sentence_reg_in_from_compare,word_reg_out_compare,word_reg_out_to_compare,word_reg_in_from_compare,sentence_reg_out_compare,sentence_reg_out_to_compare,word_reg_in_compare,word_firstskip_compare,sentence_firstskip_compare,word_runid_compare,sentence_runid_compare,word_fix_compare,sentence_fix_compare,word_run_compare,sentence_run_compare,word_run_fix_compare,sentence_run_fix_compare,word_cland_compare
AMD1111_03,AMD1111_03_page18,,,0,220,26,246,26,246,395,181,AMD1111_03_page18,0,false,280,2,165,0,165,0,280,2,224,1,280,2,165,0,165,0,224,1,165,0,165,0,165,-16,0,0,0,11,m,11,1,Climáticos,3,1,26,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",,24,,false,false,false,false,,,,false,false,,0,0,-1,-1,1,1,1,1,1,1,-2.5,99,0,145,s,11,19,alternativas,11,0,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",,24,,false,false,false,,false,,,false,,false,0,0,-1,-1,1,1,1,1,1,1,4.5
AMD1111_03,AMD1111_03_page18,,,1,132,298,430,298,430,805,235,AMD1111_03_page18,24.221,false,280,2,224,1,165,0,280,2,280,2,224,1,165,0,224,1,280,2,165,0,224,1,280,45,2,2,2,169,s,35,23,sobre,0,4,26,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",24,173,24,false,true,true,false,14,,,false,false,,0,0,-1,-1,1,2,1,1,1,2,-3,45,0,169,s,35,23,sobre,0,4,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",24,5,24,false,true,false,,false,,,false,,false,0,0,-1,-1,1,2,1,1,1,2,-3
AMD1111_03,AMD1111_03_page18,,,2,92,454,546,454,546,889,251,AMD1111_03_page18,4.962,false,280,2,224,1,165,0,280,2,280,2,224,1,165,0,224,1,336,3,224,1,224,1,224,-27,1,1,-1,85, ,40,14,la,0,7,26,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",-5,-21,-5,false,true,true,true,10,,23,false,false,,1,0,0,-1,1,3,1,1,1,3,-1.5,29,0,174, ,40,24,esta,0,5,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",5,-21,5,false,true,false,,true,20,,false,,false,0,0,-1,-1,1,3,1,1,1,3,-2.5
AMD1111_03,AMD1111_03_page18,,,3,180,602,782,602,782,532,223,AMD1111_03_page18,21.09,false,280,2,224,1,224,1,280,2,224,1,224,1,165,0,224,1,280,2,165,0,224,1,224,1,1,1,0,64,i,19,10,débiles,3,3,26,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",-21,104,-21,false,true,true,true,0,,14,false,false,,1,0,0,-1,1,4,1,1,1,4,-1,57,0,153,d,19,20,pretenden,6,1,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",-21,-14,-21,false,true,false,,true,19,24,false,,true,1,0,0,-1,1,4,1,1,1,4,1
AMD1111_03,AMD1111_03_page18,,,4,188,826,1014,826,1014,284,194,AMD1111_03_page18,14.651,false,280,2,165,0,224,1,280,2,224,1,280,2,165,0,165,0,224,1,165,0,224,1,165,-29,0,0,-1,5,o,5,0,Cambios,5,0,26,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",14,23,9,false,true,false,true,,,10,false,false,,1,0,0,-1,1,5,1,1,1,5,1,86,0,139,n,5,19,alternativas,5,0,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",-14,23,-8,false,true,false,,false,,20,false,,true,0,0,0,-1,2,5,2,1,1,5,-1.5
AMD1111_03,AMD1111_03_page18,,,5,256,1066,1322,1066,1322,688,252,AMD1111_03_page18,23.866,false,280,2,224,1,224,1,280,2,280,2,224,1,165,0,280,2,280,2,224,1,336,3,280,28,2,2,2,162,a,28,21,arrojar,5,2,26,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",23,-4,18,false,true,false,false,,,,false,false,,1,0,0,-1,1,6,1,1,1,6,1,28,0,162,a,28,21,arrojar,5,2,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",23,-4,18,false,true,false,,false,,,false,,false,1,0,0,-1,1,6,1,1,1,6,1
AMD1111_03,AMD1111_03_page18,,,6,132,1350,1482,1350,1482,622,270,AMD1111_03_page18,3.899,false,280,2,280,2,224,1,280,2,280,2,224,1,165,0,280,2,336,3,224,1,336,3,280,10,2,2,0,158,r,24,21,arrojar,1,2,26,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",-4,-18,1,true,true,true,false,19,,,false,false,,0,0,0,-1,2,7,1,1,2,7,-3,10,0,158,r,24,21,arrojar,1,2,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",-4,-18,1,true,true,false,,true,19,,false,,false,0,0,0,-1,2,7,1,1,2,7,-3
AMD1111_03,AMD1111_03_page18,,,7,296,1534,1830,1534,1830,302,273,AMD1111_03_page18,18.904,false,280,2,280,2,224,1,280,2,280,2,336,3,224,1,280,2,280,2,224,1,336,3,280,7,2,2,0,140,a,6,19,alternativas,6,0,26,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",-18,6,-17,false,true,false,true,,,21,false,false,,1,0,1,-1,1,8,1,1,1,8,-0.5,7,0,140,a,6,19,alternativas,6,0,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",-18,6,-17,false,true,false,,false,,21,false,,true,0,0,1,-1,3,8,3,1,1,8,-0.5
AMD1111_03,AMD1111_03_page18,,,8,180,1858,2038,1858,2038,410,250,AMD1111_03_page18,6.38,false,280,2,224,1,224,1,280,2,280,2,336,3,224,1,280,2,280,2,224,1,336,3,280,30,2,2,0,146, ,12,19,alternativas,11,0,26,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",6,-7,-5,true,true,false,false,,,,false,false,,0,0,1,-1,2,9,1,1,2,9,4.5,30,0,146, ,12,19,alternativas,11,0,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",6,-7,-5,true,true,false,,false,,,false,,false,0,0,1,-1,4,9,3,1,2,9,4.5
AMD1111_03,AMD1111_03_page18,,,9,188,2078,2266,2078,2266,294,257,AMD1111_03_page18,6.853,false,280,2,280,2,224,1,280,2,280,2,336,3,224,1,280,2,280,2,224,1,336,3,280,23,2,2,0,139,n,5,19,alternativas,5,0,26,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",-7,4,4,true,true,false,false,,,,false,false,,0,0,1,-1,3,10,1,1,3,10,-1.5,23,0,139,n,5,19,alternativas,5,0,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",-7,4,4,true,true,false,,false,,,false,,false,0,0,1,-1,5,10,3,1,3,10,-1.5
AMD1111_03,AMD1111_03_page18,,,10,184,2290,2474,2290,2474,359,268,AMD1111_03_page18,3.84,false,280,2,280,2,224,1,280,2,280,2,336,3,224,1,280,2,280,2,224,1,336,3,280,12,2,2,0,143,v,9,19,alternativas,9,0,26,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",4,5,-5,true,true,false,false,,,,false,false,,0,0,1,-1,4,11,1,1,4,11,2.5,12,0,143,v,9,19,alternativas,9,0,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",4,5,-5,true,true,false,,false,,,false,,false,0,0,1,-1,6,11,3,1,4,11,2.5
AMD1111_03,AMD1111_03_page18,,,11,196,2498,2694,2498,2694,453,283,AMD1111_03_page18,5.553,false,280,2,280,2,224,1,280,2,336,3,336,3,224,1,280,2,336,3,224,1,336,3,280,-3,2,2,0,148,r,14,20,pretenden,1,1,26,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",5,7,4,false,true,false,false,,,,false,false,,1,0,1,-1,1,12,1,1,1,12,-4,-3,0,148,r,14,20,pretenden,1,1,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",5,7,4,false,true,false,,false,,,false,,false,0,0,1,-1,2,12,2,1,1,12,-4
AMD1111_03,AMD1111_03_page18,,,12,324,2726,3050,2726,3050,571,301,AMD1111_03_page18,6.971,false,280,2,280,2,224,1,280,2,336,3,336,3,224,1,280,2,336,3,280,2,336,3,280,-21,2,2,0,155,n,21,20,pretenden,8,1,26,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",7,-7,-1,true,true,false,false,,,,false,false,,0,0,1,-1,2,13,1,1,2,13,3,-21,0,155,n,21,20,pretenden,8,1,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",7,-7,-1,true,true,false,,false,,,false,,false,0,0,1,-1,3,13,2,1,2,13,3
AMD1111_03,AMD1111_03_page18,,,13,228,3082,3310,3082,3310,442,302,AMD1111_03_page18,7.621,false,280,2,280,2,224,1,280,2,336,3,336,3,224,1,280,2,336,3,280,2,336,3,280,-22,2,2,0,148,r,14,20,pretenden,1,1,26,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",-7,15,1,true,true,false,false,,,,false,false,,0,0,1,-1,3,14,1,1,3,14,-4,-22,0,148,r,14,20,pretenden,1,1,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",-7,15,1,true,true,false,,false,,,false,,false,0,0,1,-1,4,14,2,1,3,14,-4
AMD1111_03,AMD1111_03_page18,,,14,176,3494,3670,3494,3670,695,318,AMD1111_03_page18,14.946,false,280,2,336,3,224,1,280,2,336,3,280,2,224,1,280,2,392,4,280,2,336,3,280,-38,2,2,0,163,r,29,21,arrojar,6,2,26,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",15,2,9,false,true,false,false,,,,false,false,,0,0,1,-1,3,15,2,1,1,15,2,-38,0,163,r,29,21,arrojar,6,2,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",15,2,9,false,true,false,,false,,,false,,false,0,0,1,-1,3,15,2,1,1,15,2
AMD1111_03,AMD1111_03_page18,,,15,167,3694,3861,3694,3861,737,311,AMD1111_03_page18,2.481,false,280,2,336,3,224,1,280,2,336,3,280,2,224,1,280,2,392,4,280,2,336,3,280,-31,2,2,0,165,l,31,22,luz,0,3,26,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",2,-9,2,false,true,true,false,20,,,false,false,,1,0,1,-1,1,16,1,1,1,16,-2,-31,0,165,l,31,22,luz,0,3,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",2,-9,2,false,true,false,,true,20,,false,,false,1,0,1,-1,1,16,1,1,1,16,-2
AMD1111_03,AMD1111_03_page18,,,16,180,3897,4077,3897,4077,576,297,AMD1111_03_page18,9.511,false,280,2,280,2,224,1,280,2,336,3,280,2,224,1,280,2,336,3,280,2,336,3,280,-17,2,2,0,156, ,22,20,pretenden,8,1,26,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",-9,5,-9,false,true,false,true,,,22,false,false,,0,0,2,-1,4,17,2,1,1,17,3,-17,0,156, ,22,20,pretenden,8,1,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",-9,5,-9,false,true,false,,false,,22,false,,true,0,0,2,-1,5,17,3,1,1,17,3
AMD1111_03,AMD1111_03_page18,,,17,165,4105,4270,4105,4270,672,302,AMD1111_03_page18,5.671,false,280,2,280,2,224,1,280,2,336,3,280,2,224,1,280,2,336,3,280,2,336,3,280,-22,2,2,0,161,j,27,21,arrojar,4,2,26,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",5,6,1,false,true,false,false,,,,false,false,,0,0,2,-1,4,18,3,1,1,18,0,-22,0,161,j,27,21,arrojar,4,2,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",5,6,1,false,true,false,,false,,,false,,false,0,0,2,-1,4,18,3,1,1,18,0
AMD1111_03,AMD1111_03_page18,,,18,204,4293,4497,4293,4497,764,306,AMD1111_03_page18,5.435,false,280,2,280,2,224,1,280,2,336,3,280,2,224,1,280,2,336,3,280,2,336,3,280,-26,2,2,0,167,z,33,22,luz,2,3,26,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",6,-11,4,false,true,true,false,20,,,false,false,,0,0,2,-1,2,19,2,1,1,19,0,-26,0,167,z,33,22,luz,2,3,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",6,-11,4,false,true,false,,true,20,,false,,false,0,0,2,-1,2,19,2,1,1,19,0
AMD1111_03,AMD1111_03_page18,,,19,152,4541,4693,4541,4693,575,300,AMD1111_03_page18,11.165,false,280,2,280,2,224,1,280,2,336,3,280,2,224,1,280,2,336,3,280,2,336,3,280,-20,2,2,0,156, ,22,20,pretenden,8,1,26,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",-11,8,-9,false,true,false,true,,,22,false,false,,0,0,3,-1,5,20,3,1,1,20,3,-20,0,156, ,22,20,pretenden,8,1,0,"Cambios Climáticos como Causa de la Extinción Ante los puntos débiles del paradigma de la exclusión competitiva, otras interpretaciones alternativas pretenden arrojar luz sobre esta cuestión.",-11,8,-9,false,true,false,,false,,22,false,,true,0,0,3,-1,6,20,4,1,1,20,3
