x,y,start,stop,subject,trial_id
192,168,4,320,NA,pagina1
866,147,412,504,NA,pagina1
700,146,920,1008,NA,pagina1
728,181,1028,1308,NA,pagina1
813,155,1388,1472,NA,pagina1
808,119,1604,1816,NA,pagina1
994,122,2055,2211,NA,pagina1
999,133,2251,2343,NA,pagina1
1134,86,2379,2571,NA,pagina1
1132,111,2611,2723,NA,pagina1
1127,252,2787,3023,NA,pagina1
1211,112,3091,3195,NA,pagina1
244,315,3655,3987,NA,pagina1
318,306,4007,4171,NA,pagina1
476,296,4195,4483,NA,pagina1
570,300,4623,4715,NA,pagina1
738,295,4747,4931,NA,pagina1
953,322,5342,5434,NA,pagina1
1036,299,5646,5902,NA,pagina1
1219,272,5942,6250,NA,pagina1
1267,291,6294,6482,NA,pagina1
1568,248,6706,6810,NA,pagina1
298,370,7198,7394,NA,pagina1
297,385,7422,7566,NA,pagina1
502,373,7650,8054,NA,pagina1
701,388,8082,8382,NA,pagina1
861,354,8414,8570,NA,pagina1
868,375,8622,8714,NA,pagina1
1027,367,8830,8966,NA,pagina1
986,368,8994,9174,NA,pagina1
1118,350,9202,9394,NA,pagina1
1282,357,9434,9557,NA,pagina1
1382,352,9681,9841,NA,pagina1
1458,357,9869,10089,NA,pagina1
1628,335,10129,10345,NA,pagina1
1719,318,10421,10573,NA,pagina1
1729,312,10601,10705,NA,pagina1
212,420,10817,11021,NA,pagina1
326,431,11069,11273,NA,pagina1
477,450,11309,11561,NA,pagina1
549,435,11665,12321,NA,pagina1
521,434,12353,12569,NA,pagina1
608,429,12629,12904,NA,pagina1
699,433,12933,13176,NA,pagina1
771,438,13204,13480,NA,pagina1
850,419,13628,13744,NA,pagina1
948,404,13780,14008,NA,pagina1
1050,436,14104,14572,NA,pagina1
1179,399,14652,15584,NA,pagina1
1242,390,15668,15844,NA,pagina1
1205,398,15868,16572,NA,pagina1
1192,428,16636,17055,NA,pagina1
1281,387,17096,17551,NA,pagina1
1356,381,17600,17879,NA,pagina1
1426,385,17907,18207,NA,pagina1
1497,381,18231,18459,NA,pagina1
1623,383,18623,18747,NA,pagina1
192,473,19191,19283,NA,pagina1
316,475,19311,19555,NA,pagina1
530,478,19635,19935,NA,pagina1
766,508,20187,20351,NA,pagina1
915,490,20391,20586,NA,pagina1
738,497,20682,20842,NA,pagina1
686,502,20874,21570,NA,pagina1
766,482,21694,21858,NA,pagina1
884,508,21890,22162,NA,pagina1
956,471,22198,22566,NA,pagina1
977,460,22610,23022,NA,pagina1
908,511,23050,23590,NA,pagina1
917,494,23618,23830,NA,pagina1
973,469,23854,24294,NA,pagina1
1153,481,24334,24450,NA,pagina1
1287,459,24729,24882,NA,pagina1
1413,472,24917,25081,NA,pagina1
1406,480,25121,25489,NA,pagina1
1642,422,25741,25945,NA,pagina1
229,500,26081,26261,NA,pagina1
388,535,26289,26573,NA,pagina1
576,560,26625,26901,NA,pagina1
640,553,26925,27061,NA,pagina1
739,564,27089,27273,NA,pagina1
799,578,27301,27505,NA,pagina1
959,527,27717,27860,NA,pagina1
1162,543,27905,28032,NA,pagina1
1140,552,28057,28356,NA,pagina1
1198,579,28408,28576,NA,pagina1
1196,596,28632,29296,NA,pagina1
1343,545,29340,29576,NA,pagina1
1473,531,29692,30160,NA,pagina1
1515,526,30184,30352,NA,pagina1
1573,506,30480,30612,NA,pagina1
1690,472,30656,30920,NA,pagina1
193,593,31028,31172,NA,pagina1
1184,524,31296,31552,NA,pagina1
1170,539,31568,31996,NA,pagina1
1599,500,32047,32327,NA,pagina1
1730,470,32383,32531,NA,pagina1
1747,463,32627,32831,NA,pagina1
273,597,32947,33091,NA,pagina1
216,595,33111,33207,NA,pagina1
416,628,33235,33415,NA,pagina1
477,603,33435,33595,NA,pagina1
599,592,33687,33919,NA,pagina1
751,633,33947,34251,NA,pagina1
880,628,34279,34575,NA,pagina1
1082,605,34683,34959,NA,pagina1
1178,618,35131,35319,NA,pagina1
1334,612,35346,35870,NA,pagina1
1392,596,35894,36214,NA,pagina1
1574,570,36258,36598,NA,pagina1
1575,567,36622,36898,NA,pagina1
1629,552,37034,37190,NA,pagina1
1721,549,37226,37374,NA,pagina1
431,663,37730,38162,NA,pagina1
471,666,38190,38470,NA,pagina1
620,657,38602,38810,NA,pagina1
732,694,38854,39146,NA,pagina1
771,680,39170,39342,NA,pagina1
906,686,39382,39573,NA,pagina1
990,659,39693,39953,NA,pagina1
1153,667,39989,40265,NA,pagina1
1355,658,40305,40569,NA,pagina1
1348,667,40605,40773,NA,pagina1
1435,669,40801,41093,NA,pagina1
1633,606,41205,41457,NA,pagina1
1733,625,41485,41821,NA,pagina1
226,740,41925,42165,NA,pagina1
280,721,42193,42577,NA,pagina1
256,704,42605,42877,NA,pagina1
352,716,42901,43588,NA,pagina1
367,738,43616,44576,NA,pagina1
374,733,44604,45116,NA,pagina1
273,304,45624,45788,NA,pagina1
446,308,45944,46136,NA,pagina1
546,319,46164,46440,NA,pagina1
723,309,46472,46704,NA,pagina1
900,312,46832,46928,NA,pagina1
854,300,47059,47191,NA,pagina1
744,114,47235,47392,NA,pagina1
809,151,47419,47595,NA,pagina1
1080,146,47735,47855,NA,pagina1
792,113,47999,48187,NA,pagina1
1079,96,48323,48455,NA,pagina1
1188,110,48727,48911,NA,pagina1
1192,105,49195,49351,NA,pagina1
1013,161,49559,49655,NA,pagina1
979,158,49979,50143,NA,pagina1
720,140,50790,50978,NA,pagina1
800,144,51034,51142,NA,pagina1
793,128,51218,51334,NA,pagina1
803,132,51414,51686,NA,pagina1
