char,char_x_center,char_y_center,char_xmax,char_xmin,char_ymax,char_ymin,trial_id,assigned_line
E,52.5,185.0,65,40,199.0,171.0,trial_001,1
l,77.703125,183.5,90.203125,65.203125,199.0,168.0,trial_001,1
 ,102.90625,199.0,115.40625,90.40625,199.0,199.0,trial_001,1
i,128.109375,184.0,140.609375,115.609375,199.0,169.0,trial_001,1
n,153.3125,187.5,165.8125,140.8125,199.0,176.0,trial_001,1
t,178.515625,184.5,191.015625,166.015625,199.0,170.0,trial_001,1
e,203.71875,187.5,216.21875,191.21875,199.0,176.0,trial_001,1
r,228.921875,187.5,241.421875,216.421875,199.0,176.0,trial_001,1
é,254.125,184.0,266.625,241.625,199.0,169.0,trial_001,1
s,279.328125,187.5,291.828125,266.828125,199.0,176.0,trial_001,1
 ,304.53125,199.0,317.03125,292.03125,199.0,199.0,trial_001,1
p,329.734375,192.0,342.234375,317.234375,208.0,176.0,trial_001,1
o,354.9375,187.5,367.4375,342.4375,199.0,176.0,trial_001,1
r,380.140625,187.5,392.640625,367.640625,199.0,176.0,trial_001,1
 ,405.34375,199.0,417.84375,392.84375,199.0,199.0,trial_001,1
l,430.546875,183.5,443.046875,418.046875,199.0,168.0,trial_001,1
a,455.75,187.5,468.25,443.25,199.0,176.0,trial_001,1
 ,480.953125,199.0,493.453125,468.453125,199.0,199.0,trial_001,1
e,506.15625,187.5,518.65625,493.65625,199.0,176.0,trial_001,1
x,531.359375,187.5,543.859375,518.859375,199.0,176.0,trial_001,1
t,556.5625,184.5,569.0625,544.0625,199.0,170.0,trial_001,1
i,581.765625,184.0,594.265625,569.265625,199.0,169.0,trial_001,1
n,606.96875,187.5,619.46875,594.46875,199.0,176.0,trial_001,1
c,632.171875,187.5,644.671875,619.671875,199.0,176.0,trial_001,1
i,657.375,184.0,669.875,644.875,199.0,169.0,trial_001,1
ó,682.578125,184.0,695.078125,670.078125,199.0,169.0,trial_001,1
n,707.78125,187.5,720.28125,695.28125,199.0,176.0,trial_001,1
 ,732.984375,199.0,745.484375,720.484375,199.0,199.0,trial_001,1
s,758.1875,187.5,770.6875,745.6875,199.0,176.0,trial_001,1
i,783.390625,184.0,795.890625,770.890625,199.0,169.0,trial_001,1
e,808.59375,187.5,821.09375,796.09375,199.0,176.0,trial_001,1
m,833.796875,187.5,846.296875,821.296875,199.0,176.0,trial_001,1
