Character,X_Start,Y_Start,X_End,Y_End,Line_Number,Word_Number,Char_Number_in_Word,X_Center,Y_Center,Word_X_Start,Word_Y_Start,Word_X_End,Word_Y_End
L,467,50,489,85,1,1,0,478,67,467,50,522,85
a,490,50,517,85,1,1,1,503,67,467,50,522,85
 ,522,46,556,85,1,2,0,539,65,522,46,556,85
e,557,46,582,85,1,2,0,569,65,557,46,831,85
x,583,46,609,85,1,2,1,596,65,557,46,831,85
t,610,46,631,85,1,2,2,620,65,557,46,831,85
i,632,46,658,85,1,2,3,645,65,557,46,831,85
n,659,46,682,85,1,2,4,670,65,557,46,831,85
c,683,46,707,85,1,2,5,695,65,557,46,831,85
i,708,46,734,85,1,2,6,721,65,557,46,831,85
o,735,46,760,85,1,2,7,747,65,557,46,831,85
n,761,46,784,85,1,2,8,772,65,557,46,831,85
 ,831,46,868,85,1,3,0,849,65,831,46,868,85
d,869,46,893,85,1,3,0,881,65,869,46,926,85
e,894,46,919,85,1,3,1,906,65,869,46,926,85
 ,926,46,966,85,1,4,0,946,65,926,46,966,85
l,967,46,989,85,1,4,0,978,65,967,46,1049,85
o,990,46,1015,85,1,4,1,1002,65,967,46,1049,85
s,1016,46,1039,85,1,4,2,1027,65,967,46,1049,85
 ,1049,46,1088,85,1,5,0,1068,65,1049,46,1088,85
n,1089,46,1112,85,1,5,0,1100,65,1089,46,1455,85
e,1113,46,1138,85,1,5,1,1125,65,1089,46,1455,85
a,1139,46,1166,85,1,5,2,1152,65,1089,46,1455,85
n,1167,46,1190,85,1,5,3,1178,65,1089,46,1455,85
d,1191,46,1215,85,1,5,4,1203,65,1089,46,1455,85
e,1216,46,1241,85,1,5,5,1228,65,1089,46,1455,85
r,1242,46,1263,85,1,5,6,1252,65,1089,46,1455,85
t,1264,46,1285,85,1,5,7,1274,65,1089,46,1455,85
a,1286,46,1313,85,1,5,8,1299,65,1089,46,1455,85
l,1314,46,1336,85,1,5,9,1325,65,1089,46,1455,85
e,1337,46,1362,85,1,5,10,1349,65,1089,46,1455,85
s,1363,46,1386,85,1,5,11,1374,65,1089,46,1455,85
E,43,169,63,199,2,1,0,53,184,43,169,88,199
l,64,169,82,199,2,1,1,73,184,43,169,88,199
 ,88,169,118,199,2,2,0,103,184,88,169,118,199
i,119,169,145,199,2,2,0,132,184,119,169,289,199
n,146,169,169,199,2,2,1,157,184,119,169,289,199
t,170,169,191,199,2,2,2,180,184,119,169,289,199
e,192,169,217,199,2,2,3,204,184,119,169,289,199
r,218,169,234,199,2,2,4,226,184,119,169,289,199
é,235,169,254,199,2,2,5,244,184,119,169,289,199
s,255,169,273,199,2,2,6,264,184,119,169,289,199
 ,289,176,320,208,2,3,0,304,192,289,176,320,208
p,321,176,339,208,2,3,0,330,192,321,176,389,208
o,340,176,360,208,2,3,1,350,192,321,176,389,208
r,361,176,377,208,2,3,2,369,192,321,176,389,208
 ,389,169,422,199,2,4,0,405,184,389,169,422,199
l,423,169,445,199,2,4,0,434,184,423,169,467,199
a,446,169,473,199,2,4,1,459,184,423,169,467,199
 ,467,169,496,199,2,5,0,481,184,467,169,496,199
e,497,169,522,199,2,5,0,509,184,497,169,717,199
x,523,169,549,199,2,5,1,536,184,497,169,717,199
t,550,169,571,199,2,5,2,560,184,497,169,717,199
i,572,169,598,199,2,5,3,585,184,497,169,717,199
n,599,169,622,199,2,5,4,610,184,497,169,717,199
c,623,169,647,199,2,5,5,635,184,497,169,717,199
i,648,169,674,199,2,5,6,661,184,497,169,717,199
o,675,169,700,199,2,5,7,687,184,497,169,717,199
6,701,169,710,199,2,5,8,705,184,497,169,717,199
n,711,169,729,199,2,5,9,720,184,497,169,717,199
 ,717,169,749,208,2,6,0,733,188,717,169,749,208
s,750,169,773,208,2,6,0,761,188,750,169,919,208
i,774,169,794,208,2,6,1,784,188,750,169,919,208
e,795,169,814,208,2,6,2,804,188,750,169,919,208
m,815,169,836,208,2,6,3,825,188,750,169,919,208
p,837,169,855,208,2,6,4,846,188,750,169,919,208
r,856,169,872,208,2,6,5,864,188,750,169,919,208
e,873,169,892,208,2,6,6,882,188,750,169,919,208
 ,919,169,950,199,2,7,0,934,184,919,169,950,199
h,951,169,969,199,2,7,0,960,184,951,169,997,199
a,970,169,991,199,2,7,1,980,184,951,169,997,199
 ,997,169,1025,199,2,8,0,1011,184,997,169,1025,199
e,1026,169,1051,199,2,8,0,1038,184,1026,169,1240,199
x,1052,169,1078,199,2,8,1,1065,184,1026,169,1240,199
i,1079,169,1105,199,2,8,2,1092,184,1026,169,1240,199
s,1106,169,1129,199,2,8,3,1117,184,1026,169,1240,199
t,1130,169,1151,199,2,8,4,1140,184,1026,169,1240,199
i,1152,169,1172,199,2,8,5,1162,184,1026,169,1240,199
d,1173,169,1192,199,2,8,6,1182,184,1026,169,1240,199
o,1193,169,1213,199,2,8,7,1203,184,1026,169,1240,199
.,1214,169,1219,199,2,8,8,1216,184,1026,169,1240,199
 ,1240,171,1277,199,2,9,0,1258,185,1240,171,1277,199
E,1278,171,1298,199,2,9,0,1288,185,1278,171,1322,199
n,1299,171,1317,199,2,9,1,1308,185,1278,171,1322,199
 ,1322,169,1355,207,2,10,0,1338,188,1322,169,1355,207
r,1356,169,1377,207,2,10,0,1366,188,1356,169,1566,207
e,1378,169,1403,207,2,10,1,1390,188,1356,169,1566,207
a,1404,169,1425,207,2,10,2,1414,188,1356,169,1566,207
l,1426,169,1444,207,2,10,3,1435,188,1356,169,1566,207
i,1445,169,1465,207,2,10,4,1455,188,1356,169,1566,207
d,1466,169,1485,207,2,10,5,1475,188,1356,169,1566,207
a,1486,169,1507,207,2,10,6,1496,188,1356,169,1566,207
d,1508,169,1527,207,2,10,7,1517,188,1356,169,1566,207
",",1528,169,1537,207,2,10,8,1532,188,1356,169,1566,207
 ,1566,169,1605,199,2,11,0,1585,184,1566,169,1605,199
e,1606,169,1631,199,2,11,0,1618,184,1606,169,1651,199
l,1632,169,1654,199,2,11,1,1643,184,1606,169,1651,199
 ,1651,169,1680,199,2,12,0,1665,184,1651,169,1680,199
f,1681,169,1701,199,2,12,0,1691,184,1681,169,1802,199
i,1702,169,1722,199,2,12,1,1712,184,1681,169,1802,199
n,1723,169,1741,199,2,12,2,1732,184,1681,169,1802,199
a,1742,169,1763,199,2,12,3,1752,184,1681,169,1802,199
