Character,X_Start,Y_Start,X_End,Y_End,Line_Number,Word_Number,Char_Number_in_Word,X_Center,Y_Center
C,10,350,48,404,0,0,1,29.0,369.0
a,48,350,86,404,0,0,2,67.0,364.5
u,86,350,124,404,0,0,3,105.0,364.0
s,124,350,162,404,0,0,4,143.0,364.5
a,162,350,200,404,0,0,5,181.0,364.5
s,200,350,238,404,0,0,6,219.0,364.5
 ,238,350,276,403,0,0,7,257.0,350.0
F,276,350,314,403,0,0,8,295.0,368.0
i,314,350,352,403,0,0,9,333.0,369.5
s,352,350,390,404,0,0,10,371.0,364.5
i,390,350,428,403,0,0,11,409.0,369.5
o,428,350,466,404,0,0,12,447.0,364.5
l,466,350,504,403,0,0,13,485.0,369.5
ó,504,350,542,404,0,0,14,523.0,371.5
g,542,350,580,415,0,0,15,561.0,370.0
i,580,350,618,403,0,0,16,599.0,369.5
c,618,350,656,404,0,0,17,637.0,364.5
a,656,350,694,404,0,0,18,675.0,364.5
s,694,350,732,404,0,0,19,713.0,364.5
L,10,476,48,529,1,1,1,29.0,494.0
a,48,476,86,530,1,1,2,67.0,490.5
s,86,476,124,530,1,1,3,105.0,490.5
 ,124,476,162,529,1,1,0,143.0,476.0
c,162,476,200,530,1,2,1,181.0,490.5
a,200,476,238,530,1,2,2,219.0,490.5
u,238,476,276,530,1,2,3,257.0,490.0
s,276,476,314,530,1,2,4,295.0,490.5
a,314,476,352,530,1,2,5,333.0,490.5
s,352,476,390,530,1,2,6,371.0,490.5
 ,390,476,428,529,1,2,0,409.0,476.0
f,428,476,466,529,1,3,1,447.0,495.5
i,466,476,504,529,1,3,2,485.0,496.5
s,504,476,542,530,1,3,3,523.0,490.5
i,542,476,580,529,1,3,4,561.0,496.5
o,580,476,618,530,1,3,5,599.0,490.5
l,618,476,656,529,1,3,6,637.0,495.5
ó,656,476,694,530,1,3,7,675.0,496.5
g,694,476,732,541,1,3,8,713.0,496.0
i,732,476,770,529,1,3,9,751.0,496.5
c,770,476,808,530,1,3,10,789.0,490.5
a,808,476,846,530,1,3,11,827.0,490.5
s,846,476,884,530,1,3,12,865.0,490.5
 ,884,476,922,529,1,3,0,903.0,476.0
d,922,476,960,530,1,4,1,941.0,496.0
e,960,476,998,530,1,4,2,979.0,490.5
 ,998,476,1036,529,1,4,0,1017.0,476.0
l,1036,476,1074,529,1,5,1,1055.0,495.5
a,1074,476,1112,530,1,5,2,1093.0,490.5
 ,1112,476,1150,529,1,5,0,1131.0,476.0
e,1150,476,1188,530,1,6,1,1169.0,490.5
x,1188,476,1226,529,1,6,2,1207.0,489.5
t,1226,476,1264,530,1,6,3,1245.0,494.5
i,1264,476,1302,529,1,6,4,1283.0,496.5
n,1302,476,1340,529,1,6,5,1321.0,490.0
c,1340,476,1378,530,1,6,6,1359.0,490.5
i,1378,476,1416,529,1,6,7,1397.0,496.5
ó,1416,476,1454,530,1,6,8,1435.0,496.5
n,1454,476,1492,529,1,6,9,1473.0,490.0
 ,1492,476,1530,529,1,6,0,1511.0,476.0
d,1530,476,1568,530,1,7,1,1549.0,496.0
e,1568,476,1606,530,1,7,2,1587.0,490.5
 ,1606,476,1644,529,1,7,0,1625.0,476.0
l,1644,476,1682,529,1,8,1,1663.0,495.5
o,1682,476,1720,530,1,8,2,1701.0,490.5
s,1720,476,1758,530,1,8,3,1739.0,490.5
 ,1758,476,1796,529,1,8,0,1777.0,476.0
n,1796,476,1834,529,1,9,1,1815.0,490.0
e,1834,476,1872,530,1,9,2,1853.0,490.5
a,1872,476,1910,530,1,9,3,1891.0,490.5
n,1910,476,1948,529,1,9,4,1929.0,490.0
d,1948,476,1986,530,1,9,5,1967.0,496.0
e,1986,476,2024,530,1,9,6,2005.0,490.5
r,2024,476,2062,529,1,9,7,2043.0,490.0
t,2062,476,2100,530,1,9,8,2081.0,494.5
a,2100,476,2138,530,1,9,9,2119.0,490.5
l,2138,476,2176,529,1,9,10,2157.0,495.5
e,2176,476,2214,530,1,9,11,2195.0,490.5
s,2214,476,2252,530,1,9,12,2233.0,490.5
 ,2252,476,2290,529,1,9,0,2271.0,476.0
s,2290,476,2328,530,1,10,1,2309.0,490.5
e,2328,476,2366,530,1,10,2,2347.0,490.5
 ,2366,476,2404,529,1,10,0,2385.0,476.0
r,2404,476,2442,529,1,11,1,2423.0,490.0
e,2442,476,2480,530,1,11,2,2461.0,490.5
f,2480,476,2518,529,1,11,3,2499.0,495.5
i,2518,476,2556,529,1,11,4,2537.0,496.5
e,2556,476,2594,530,1,11,5,2575.0,490.5
r,2594,476,2632,529,1,11,6,2613.0,490.0
e,2632,476,2670,530,1,11,7,2651.0,490.5
n,2670,476,2708,529,1,11,8,2689.0,490.0
 ,2708,476,2746,529,1,11,0,2727.0,476.0
a,2746,476,2784,530,1,12,1,2765.0,490.5
 ,2784,476,2822,529,1,12,0,2803.0,476.0
p,2822,476,2860,541,1,13,1,2841.0,496.0
o,2860,476,2898,530,1,13,2,2879.0,490.5
s,2898,476,2936,530,1,13,3,2917.0,490.5
i,2936,476,2974,529,1,13,4,2955.0,496.5
b,2974,476,3012,530,1,13,5,2993.0,496.0
l,3012,476,3050,529,1,13,6,3031.0,495.5
e,3050,476,3088,530,1,13,7,3069.0,490.5
s,3088,476,3126,530,1,13,8,3107.0,490.5
a,10,602,48,656,2,14,1,29.0,616.5
l,48,602,86,655,2,14,2,67.0,621.5
t,86,602,124,656,2,14,3,105.0,620.5
e,124,602,162,656,2,14,4,143.0,616.5
r,162,602,200,655,2,14,5,181.0,616.0
a,200,602,238,656,2,14,6,219.0,616.5
c,238,602,276,656,2,14,7,257.0,616.5
i,276,602,314,655,2,14,8,295.0,622.5
o,314,602,352,656,2,14,9,333.0,616.5
n,352,602,390,655,2,14,10,371.0,616.0
e,390,602,428,656,2,14,11,409.0,616.5
s,428,602,466,656,2,14,12,447.0,616.5
 ,466,602,504,655,2,14,0,485.0,602.0
e,504,602,542,656,2,15,1,523.0,616.5
n,542,602,580,655,2,15,2,561.0,616.0
 ,580,602,618,655,2,15,0,599.0,602.0
l,618,602,656,655,2,16,1,637.0,621.5
a,656,602,694,656,2,16,2,675.0,616.5
s,694,602,732,656,2,16,3,713.0,616.5
 ,732,602,770,655,2,16,0,751.0,602.0
f,770,602,808,655,2,17,1,789.0,621.5
u,808,602,846,656,2,17,2,827.0,616.0
n,846,602,884,655,2,17,3,865.0,616.0
c,884,602,922,656,2,17,4,903.0,616.5
i,922,602,960,655,2,17,5,941.0,622.5
o,960,602,998,656,2,17,6,979.0,616.5
n,998,602,1036,655,2,17,7,1017.0,616.0
e,1036,602,1074,656,2,17,8,1055.0,616.5
s,1074,602,1112,656,2,17,9,1093.0,616.5
 ,1112,602,1150,655,2,17,0,1131.0,602.0
v,1150,602,1188,655,2,18,1,1169.0,615.5
i,1188,602,1226,655,2,18,2,1207.0,622.5
t,1226,602,1264,656,2,18,3,1245.0,620.5
a,1264,602,1302,656,2,18,4,1283.0,616.5
l,1302,602,1340,655,2,18,5,1321.0,621.5
e,1340,602,1378,656,2,18,6,1359.0,616.5
s,1378,602,1416,656,2,18,7,1397.0,616.5
 ,1416,602,1454,655,2,18,0,1435.0,602.0
d,1454,602,1492,656,2,19,1,1473.0,622.0
e,1492,602,1530,656,2,19,2,1511.0,616.5
 ,1530,602,1568,655,2,19,0,1549.0,602.0
l,1568,602,1606,655,2,20,1,1587.0,621.5
o,1606,602,1644,656,2,20,2,1625.0,616.5
s,1644,602,1682,656,2,20,3,1663.0,616.5
 ,1682,602,1720,655,2,20,0,1701.0,602.0
i,1720,602,1758,655,2,21,1,1739.0,622.5
n,1758,602,1796,655,2,21,2,1777.0,616.0
d,1796,602,1834,656,2,21,3,1815.0,622.0
i,1834,602,1872,655,2,21,4,1853.0,622.5
v,1872,602,1910,655,2,21,5,1891.0,615.5
i,1910,602,1948,655,2,21,6,1929.0,622.5
d,1948,602,1986,656,2,21,7,1967.0,622.0
u,1986,602,2024,656,2,21,8,2005.0,616.0
o,2024,602,2062,656,2,21,9,2043.0,616.5
s,2062,602,2100,656,2,21,10,2081.0,616.5
 ,2100,602,2138,655,2,21,0,2119.0,602.0
d,2138,602,2176,656,2,22,1,2157.0,622.0
e,2176,602,2214,656,2,22,2,2195.0,616.5
b,2214,602,2252,656,2,22,3,2233.0,622.0
i,2252,602,2290,655,2,22,4,2271.0,622.5
d,2290,602,2328,656,2,22,5,2309.0,622.0
o,2328,602,2366,656,2,22,6,2347.0,616.5
 ,2366,602,2404,655,2,22,0,2385.0,602.0
a,2404,602,2442,656,2,23,1,2423.0,616.5
 ,2442,602,2480,655,2,23,0,2461.0,602.0
f,2480,602,2518,655,2,24,1,2499.0,621.5
a,2518,602,2556,656,2,24,2,2537.0,616.5
c,2556,602,2594,656,2,24,3,2575.0,616.5
t,2594,602,2632,656,2,24,4,2613.0,620.5
o,2632,602,2670,656,2,24,5,2651.0,616.5
r,2670,602,2708,655,2,24,6,2689.0,616.0
e,2708,602,2746,656,2,24,7,2727.0,616.5
s,2746,602,2784,656,2,24,8,2765.0,616.5
 ,2784,602,2822,655,2,24,0,2803.0,602.0
e,2822,602,2860,656,2,25,1,2841.0,616.5
x,2860,602,2898,655,2,25,2,2879.0,615.5
t,2898,602,2936,656,2,25,3,2917.0,620.5
e,2936,602,2974,656,2,25,4,2955.0,616.5
r,2974,602,3012,655,2,25,5,2993.0,616.0
n,3012,602,3050,655,2,25,6,3031.0,616.0
o,3050,602,3088,656,2,25,7,3069.0,616.5
s,3088,602,3126,656,2,25,8,3107.0,616.5
.,3126,602,3164,656,2,25,9,3145.0,606.0
 ,3164,602,3202,655,2,25,0,3183.0,602.0
U,3202,602,3240,656,2,26,1,3221.0,620.5
n,3240,602,3278,655,2,26,2,3259.0,616.0
a,3278,602,3316,656,2,26,3,3297.0,616.5
 ,3316,602,3354,655,2,26,0,3335.0,602.0
d,3354,602,3392,656,2,27,1,3373.0,622.0
e,3392,602,3430,656,2,27,2,3411.0,616.5
l,10,728,48,781,3,28,1,29.0,747.5
a,48,728,86,782,3,28,2,67.0,742.5
s,86,728,124,782,3,28,3,105.0,742.5
