char,char_x_center,char_y_center,char_xmax,char_xmin,char_ymax,char_ymin,trial_id,assigned_line
La,1192.0,341.0,1228,1156,360,322,1,1
extinción,1436.0,338.5,1603,1269,360,317,1,1
de,1679.0,339.5,1714,1644,360,319,1,1
los,1810.0,339.5,1862,1758,360,319,1,1
neandertales,2128.0,339.5,2350,1906,360,319,1,1
El,42.0,672.0,75,9,691,653,1,2
interés,250.0,671.0,375,125,692,650,1,2
por,474.0,683.5,528,420,703,664,1,2
la,608.0,672.5,641,575,692,653,1,2
extinción,851.0,671.0,1016,686,692,650,1,2
siempre,1190.0,677.0,1316,1064,703,651,1,2
ha,1395.5,672.5,1430,1361,692,653,1,2
existido.,1634.5,671.5,1794,1475,692,651,1,2
En,1883.5,673.0,1918,1849,691,655,1,2
"realidad,",2122.5,675.5,2281,1964,700,651,1,2
el,2371.5,672.5,2404,2339,692,653,1,2
final,2541.5,671.5,2629,2454,692,651,1,2
de,2710.0,672.5,2743,2677,692,653,1,2
los,2842.0,672.5,2892,2792,692,653,1,2
neandertales,3159.5,672.5,3380,2939,692,653,1,2
se,3462.0,678.0,3494,3430,692,664,1,2
ha,43.0,813.5,77,9,833,794,1,2
percibido,314.0,818.0,480,148,844,792,1,2
en,589.5,819.0,623,556,833,805,1,2
diferentes,879.5,812.5,1062,697,833,792,1,2
medios,1245.0,812.5,1354,1136,833,792,1,2
más,1480.5,812.5,1533,1428,833,792,1,2
como,1681.5,819.0,1752,1611,833,805,1,2
un,1860.0,819.0,1894,1826,833,805,1,2
misterio,2113.0,812.5,2260,1966,833,792,1,2
que,2387.0,824.5,2439,2335,844,805,1,3
como,2585.5,819.0,2656,2515,833,805,1,2
un,2764.0,819.0,2798,2730,833,805,1,2
“interrogante,3094.5,818.0,3314,2875,844,792,1,2
del,3440.5,813.5,3492,3389,833,794,1,2
pensamiento.,224.0,960.0,441,7,986,934,1,3
¿Por,571.0,962.0,641,501,986,938,1,3
qué,738.0,959.5,790,686,986,933,1,3
se,871.5,961.0,904,839,975,947,1,3
extinguieron,1171.5,960.0,1393,950,986,934,1,3
los,1491.0,955.5,1541,1441,975,936,1,3
neandertales?,1827.0,955.5,2066,1588,975,936,1,3
"Históricamente,",2386.0,958.0,2658,2114,983,933,1,3
las,2768.0,955.5,2818,2718,975,936,1,3
causas,2974.5,961.0,3081,2868,975,947,1,3
propuestas,3310.5,962.0,3494,3127,986,938,1,3
para,79.5,1108.5,152,7,1128,1089,1,4
explicar,344.0,1102.0,490,198,1128,1076,1,4
su,570.5,1103.0,603,538,1117,1089,1,4
extinción,814.0,1096.0,979,649,1117,1075,1,4
han,1077.0,1097.5,1130,1024,1117,1078,1,4
sido,1246.5,1096.5,1316,1177,1117,1076,1,4
muy,1415.0,1108.5,1470,1360,1128,1089,1,4
"variopintas,",1727.5,1102.0,1944,1511,1128,1076,1,4
algunas,2128.0,1103.0,2254,2002,1128,1078,1,4
surgidas,2448.0,1102.0,2592,2304,1128,1076,1,4
sencillamente,2880.5,1096.5,3119,2642,1117,1076,1,4
del,3217.5,1097.5,3269,3166,1117,1078,1,4
mundo,3405.0,1097.5,3496,3314,1117,1078,1,4
de,43.0,1238.5,76,10,1258,1219,1,4
la,178.0,1238.5,211,145,1258,1219,1,4
imaginación,479.5,1242.5,681,278,1269,1216,1,4
y,763.5,1250.0,779,748,1269,1231,1,4
otras,931.5,1239.5,1020,843,1258,1221,1,4
más,1138.5,1237.5,1191,1086,1258,1217,1,4
propias,1383.5,1243.0,1511,1256,1269,1217,1,4
del,1631.5,1238.5,1683,1580,1258,1219,1,4
dominio,1878.0,1237.5,2005,1751,1258,1217,1,4
científico.,2269.5,1237.5,2466,2073,1258,1217,1,4
Entre,2631.0,1239.5,2721,2541,1258,1221,1,4
estas,2876.5,1239.5,2965,2788,1258,1221,1,4
"últimas,",3173.5,1241.0,3314,3033,1266,1216,1,4
las,3444.0,1238.5,3494,3394,1258,1219,1,4
hipótesis,173.0,1384.5,337,9,1411,1358,1,5
se,432.0,1386.0,464,400,1400,1372,1,5
pueden,630.5,1386.0,741,520,1411,1361,1,5
agrupar,926.5,1391.5,1054,799,1411,1372,1,5
según,1203.0,1384.5,1292,1114,1411,1358,1,5
la,1384.5,1380.5,1417,1352,1400,1361,1,5
naturaleza,1658.5,1380.5,1843,1474,1400,1361,1,5
de,1934.0,1380.5,1967,1901,1400,1361,1,5
las,2078.0,1380.5,2128,2028,1400,1361,1,5
Causas:,2311.5,1386.0,2433,2190,1400,1372,1,5
"fisiológicas,",2738.5,1384.5,2971,2506,1411,1358,1,5
ecológicas,3222.5,1384.5,3405,3040,1411,1358,1,5
oO,3480.5,1386.0,3495,3466,1400,1372,1,5
puramente,173.0,1529.0,339,7,1553,1505,1,5
ambientales.,614.5,1521.5,830,399,1542,1501,1,5
A,916.0,1523.0,934,898,1541,1505,1,5
estas,1078.5,1523.5,1167,990,1542,1505,1,5
cabría,1338.5,1521.5,1447,1230,1542,1501,1,5
añadir,1614.5,1521.5,1723,1506,1542,1501,1,5
posibles,1926.0,1527.0,2072,1780,1553,1501,1,5
causas,2242.0,1528.0,2349,2135,1542,1514,1,5
de,2444.5,1522.5,2478,2411,1542,1503,1,5
determinación,2778.0,1521.0,3018,2538,1542,1500,1,5
genética,3223.0,1526.5,3369,3077,1553,1500,1,5
no,3461.0,1528.0,3495,3427,1542,1514,1,5
ambientalista.,263.0,1662.5,516,10,1683,1642,1,6
