Character,X_Start,Y_Start,X_End,Y_End,Line_Number,Word_Number,Char_Number_in_Word,X_Center,Y_Center
L,1156.0,322,1192.0,360,1,1,1,1174.0,341.0
a,1192.0,322,1228.0,360,1,1,2,1210.0,341.0
e,1269.0,317,1306.111111111111,360,1,2,1,1287.5555555555557,338.5
x,1306.111111111111,317,1343.2222222222222,360,1,2,2,1324.6666666666665,338.5
t,1343.2222222222222,317,1380.3333333333333,360,1,2,3,1361.7777777777778,338.5
i,1380.3333333333333,317,1417.4444444444443,360,1,2,4,1398.8888888888887,338.5
n,1417.4444444444443,317,1454.5555555555554,360,1,2,5,1436.0,338.5
c,1454.5555555555554,317,1491.6666666666665,360,1,2,6,1473.1111111111109,338.5
i,1491.6666666666665,317,1528.7777777777776,360,1,2,7,1510.2222222222222,338.5
ó,1528.7777777777776,317,1565.8888888888887,360,1,2,8,1547.333333333333,338.5
n,1565.8888888888887,317,1602.9999999999998,360,1,2,9,1584.4444444444443,338.5
d,1644.0,319,1679.0,360,1,3,1,1661.5,339.5
e,1679.0,319,1714.0,360,1,3,2,1696.5,339.5
l,1758.0,319,1792.6666666666667,360,1,4,1,1775.3333333333335,339.5
o,1792.6666666666667,319,1827.3333333333335,360,1,4,2,1810.0,339.5
s,1827.3333333333335,319,1862.0000000000002,360,1,4,3,1844.666666666667,339.5
n,1906.0,319,1943.0,360,1,5,1,1924.5,339.5
e,1943.0,319,1980.0,360,1,5,2,1961.5,339.5
a,1980.0,319,2017.0,360,1,5,3,1998.5,339.5
n,2017.0,319,2054.0,360,1,5,4,2035.5,339.5
d,2054.0,319,2091.0,360,1,5,5,2072.5,339.5
e,2091.0,319,2128.0,360,1,5,6,2109.5,339.5
r,2128.0,319,2165.0,360,1,5,7,2146.5,339.5
t,2165.0,319,2202.0,360,1,5,8,2183.5,339.5
a,2202.0,319,2239.0,360,1,5,9,2220.5,339.5
l,2239.0,319,2276.0,360,1,5,10,2257.5,339.5
e,2276.0,319,2313.0,360,1,5,11,2294.5,339.5
s,2313.0,319,2350.0,360,1,5,12,2331.5,339.5
E,9.0,653,42.0,691,1,1,1,25.5,672.0
l,42.0,653,75.0,691,1,1,2,58.5,672.0
i,125.0,650,160.71428571428572,692,1,2,1,142.85714285714286,671.0
n,160.71428571428572,650,196.42857142857144,692,1,2,2,178.57142857142858,671.0
t,196.42857142857144,650,232.14285714285717,692,1,2,3,214.2857142857143,671.0
e,232.14285714285717,650,267.8571428571429,692,1,2,4,250.00000000000003,671.0
r,267.8571428571429,650,303.5714285714286,692,1,2,5,285.7142857142858,671.0
é,303.5714285714286,650,339.28571428571433,692,1,2,6,321.42857142857144,671.0
s,339.28571428571433,650,375.00000000000006,692,1,2,7,357.1428571428572,671.0
p,420.0,664,456.0,703,1,3,1,438.0,683.5
o,456.0,664,492.0,703,1,3,2,474.0,683.5
r,492.0,664,528.0,703,1,3,3,510.0,683.5
l,575.0,653,608.0,692,1,4,1,591.5,672.5
a,608.0,653,641.0,692,1,4,2,624.5,672.5
e,686.0,650,722.6666666666666,692,1,5,1,704.3333333333333,671.0
x,722.6666666666666,650,759.3333333333333,692,1,5,2,741.0,671.0
t,759.3333333333333,650,795.9999999999999,692,1,5,3,777.6666666666665,671.0
i,795.9999999999999,650,832.6666666666665,692,1,5,4,814.3333333333333,671.0
n,832.6666666666665,650,869.3333333333331,692,1,5,5,850.9999999999998,671.0
c,869.3333333333331,650,905.9999999999998,692,1,5,6,887.6666666666665,671.0
