Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category	Eye L/R	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Fixation Average Pupil Size X [px]	Fixation Average Pupil Size Y [px]	Fixation Average Pupil Diameter [mm]	Fixation Dispersion X [px]	Fixation Dispersion Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	AOI Name	Port Status	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Information	Separator	-	1	0.0	-	1738679820431.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	316e8b2643b736406fb45415104ee11f_1920x1080.jpg
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	1	3.9	319.8	1738679820435.8	1738679820751.7	315.9	192.0	168.2	3.5	3.5	3.5	36.4	35.3	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	1	319.8	383.8	1738679820751.7	1738679820815.7	64.0	-	-	-	-	-	-	-	178.7	180.3	859.1	134.8	13.6	11423.9	20665.3	-17817.1	213.2	466.1	43.7	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	2	383.8	411.8	1738679820815.7	1738679820843.7	28.0	-	-	-	-	-	-	-	859.1	134.8	882.7	130.8	2.2	3492.9	3893.1	-4794.7	78.4	120.7	43.0	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	2	411.8	503.8	1738679820843.7	1738679820935.7	92.0	866.1	147.4	3.4	3.4	3.4	25.2	42.6	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	3	503.8	531.8	1738679820935.7	1738679820963.7	28.0	-	-	-	-	-	-	-	868.0	154.6	742.6	162.3	2.4	5733.6	8262.8	-7333.5	84.0	190.5	57.1	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	4	571.8	615.8	1738679821003.6	1738679821047.7	44.1	-	-	-	-	-	-	-	747.7	168.1	756.4	168.5	13.0	12417.5	23091.2	-21523.6	293.9	457.9	73.1	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	5	775.7	819.7	1738679821207.6	1738679821251.6	44.0	-	-	-	-	-	-	-	729.7	162.8	729.7	147.8	2.3	2441.9	4577.0	-2664.0	52.1	91.1	27.2	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	6	883.7	919.7	1738679821315.5	1738679821351.6	36.0	-	-	-	-	-	-	-	720.0	144.4	707.8	138.9	1.3	1730.5	2897.3	-2408.0	35.6	66.1	55.7	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	3	919.7	1007.7	1738679821351.6	1738679821439.6	88.0	700.4	145.5	3.6	3.6	3.6	30.8	58.5	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
