Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category	Eye L/R	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Fixation Average Pupil Size X [px]	Fixation Average Pupil Size Y [px]	Fixation Average Pupil Diameter [mm]	Fixation Dispersion X [px]	Fixation Dispersion Y [px]	AOI Name
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	1	3.9	319.8	1738679820435.8	1738679820751.7	315.9	192.0	168.2	3.5	3.5	3.5	36.4	35.3	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	2	411.8	503.8	1738679820843.7	1738679820935.7	92.0	866.1	147.4	3.4	3.4	3.4	25.2	42.6	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	3	919.7	1007.7	1738679821351.6	1738679821439.6	88.0	700.4	145.5	3.6	3.6	3.6	30.8	58.5	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	4	1027.7	1307.6	1738679821459.6	1738679821739.5	279.9	727.8	180.6	3.5	3.5	3.5	34.8	34.7	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	5	1387.6	1471.7	1738679821819.4	1738679821903.5	84.1	813.1	155.0	3.6	3.6	3.6	14.9	13.6	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	6	1603.7	1815.7	1738679822035.5	1738679822247.6	212.0	807.8	119.2	3.6	3.6	3.6	12.4	22.3	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	7	2055.4	2211.3	1738679822487.2	1738679822643.2	156.0	994.1	121.7	3.5	3.5	3.5	35.0	64.4	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	8	2251.4	2343.4	1738679822683.3	1738679822775.2	92.0	999.4	133.0	3.5	3.5	3.5	27.3	52.7	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	9	2379.4	2571.3	1738679822811.3	1738679823003.2	191.9	1134.4	86.1	3.5	3.5	3.5	19.9	28.7	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	10	2611.3	2723.2	1738679823043.1	1738679823155.1	111.9	1132.1	111.3	3.5	3.5	3.5	24.7	62.3	White Space
