x,y,start,stop,subject,trial_id
318,334,2,102,2905,30
693,164,914,986,2905,30
434,214,2669,2785,2905,30
600,199,2869,2977,2905,30
579,197,3017,3113,2905,30
490,267,3993,4049,2905,30
463,296,4173,4225,2905,30
422,288,4333,4385,2905,30
485,275,4433,4509,2905,30
667,313,5001,5057,2905,30
858,314,5717,5769,2905,30
961,322,5836,5928,2905,30
1135,257,6184,6300,2905,30
1268,213,6348,6652,2905,30
1247,232,6668,6812,2905,30
1445,262,6964,7024,2905,30
1415,230,7096,7208,2905,30
1510,218,7296,7384,2905,30
1556,336,7584,7652,2905,30
1553,357,7716,7784,2905,30
174,295,8616,8748,2905,30
395,342,9440,9564,2905,30
362,313,9851,10183,2905,30
509,340,10231,10343,2905,30
614,323,10387,10795,2905,30
749,346,10827,10975,2905,30
606,343,11019,11375,2905,30
778,350,11411,11667,2905,30
880,345,11783,12087,2905,30
997,359,12147,12435,2905,30
1080,342,12527,12607,2905,30
1165,335,12759,13274,2905,30
1237,305,13383,13582,2905,30
1401,303,13630,13874,2905,30
223,384,15222,15294,2905,30
445,348,15506,15598,2905,30
467,369,15638,15818,2905,30
513,399,16074,16182,2905,30
531,424,16286,16482,2905,30
623,422,16558,17054,2905,30
734,400,17126,17385,2905,30
812,392,17430,17553,2905,30
896,390,17585,17893,2905,30
1109,395,18021,18073,2905,30
1058,386,18113,18197,2905,30
1206,394,18693,18761,2905,30
1469,383,18861,18977,2905,30
1356,384,19049,19357,2905,30
1592,391,19597,19685,2905,30
251,429,20221,20349,2905,30
162,452,20409,20521,2905,30
322,455,20656,20884,2905,30
403,438,20936,21076,2905,30
295,445,21172,21280,2905,30
458,426,21384,21572,2905,30
580,462,21660,21980,2905,30
621,456,22032,22224,2905,30
795,439,22364,22464,2905,30
769,471,22516,22660,2905,30
874,473,22720,22868,2905,30
978,468,22912,23032,2905,30
1082,465,23184,23448,2905,30
1230,456,23500,23556,2905,30
1307,458,23684,23912,2905,30
1380,450,23936,24156,2905,30
1298,477,24280,24636,2905,30
1354,452,24664,24995,2905,30
1395,464,25056,25319,2905,30
1402,456,25356,25484,2905,30
1426,475,25531,25883,2905,30
1409,466,25915,26039,2905,30
1535,482,26087,26279,2905,30
1476,462,26495,26703,2905,30
1612,500,26855,26907,2905,30
196,570,27419,27495,2905,30
195,570,27543,27627,2905,30
316,520,27791,27935,2905,30
622,509,28183,28558,2905,30
762,512,28606,28878,2905,30
868,523,28910,29314,2905,30
912,529,29342,29482,2905,30
1012,520,29538,29618,2905,30
894,522,29706,29942,2905,30
818,532,29986,30058,2905,30
853,530,30094,30286,2905,30
993,514,30350,30402,2905,30
1002,514,30418,30546,2905,30
1131,518,30582,30762,2905,30
1107,511,30782,30938,2905,30
1227,511,30990,31258,2905,30
1302,512,31394,31590,2905,30
1430,523,31642,31910,2905,30
1400,515,31950,32046,2905,30
314,618,32449,32514,2905,30
610,206,33585,33653,2905,30
601,263,35065,35129,2905,30
224,261,36277,36408,2905,30
161,252,36532,36608,2905,30
494,261,37496,37548,2905,30
839,324,38160,38216,2905,30
848,336,38248,38328,2905,30
961,261,38408,38588,2905,30
1078,258,38652,38912,2905,30
1276,261,39132,39304,2905,30
1444,318,40679,40731,2905,30
178,366,41595,41651,2905,30
173,359,41671,41723,2905,30
188,339,41835,41907,2905,30
468,342,42131,42191,2905,30
460,326,42231,42283,2905,30
292,210,42751,42887,2905,30
508,317,43007,43079,2905,30
585,311,43107,43163,2905,30
694,381,43550,43635,2905,30
752,389,43658,43767,2905,30
1042,394,44182,44238,2905,30
995,329,44414,44506,2905,30
1410,352,45038,45182,2905,30
435,440,46526,46626,2905,30
649,415,46706,46822,2905,30
651,412,46846,46922,2905,30
637,422,46974,47086,2905,30
885,430,47330,47606,2905,30
921,427,47709,47813,2905,30
787,421,47885,48169,2905,30
1116,402,48361,48573,2905,30
1080,411,48613,48745,2905,30
1218,423,48837,48969,2905,30
1206,454,49037,49205,2905,30
1372,421,49273,49429,2905,30
1605,498,49745,49801,2905,30
267,502,50053,50141,2905,30
366,455,50621,50705,2905,30
546,470,51092,51201,2905,30
613,479,51241,51516,2905,30
787,480,51576,51712,2905,30
742,474,51836,51976,2905,30
738,484,51996,52088,2905,30
921,489,52172,52288,2905,30
979,481,52352,52548,2905,30
1111,475,52588,52812,2905,30
1315,471,53040,53140,2905,30
1280,473,53168,53312,2905,30
1338,460,53348,53496,2905,30
1430,510,53648,53700,2905,30
1367,464,53816,53920,2905,30
1310,463,53984,54076,2905,30
1300,479,54176,54256,2905,30
1361,477,54308,54444,2905,30
1444,520,55036,55099,2905,30
165,534,55771,55867,2905,30
320,547,55919,55971,2905,30
394,531,56171,56275,2905,30
403,550,56303,56427,2905,30
455,528,56475,56591,2905,30
642,538,56643,56927,2905,30
810,538,57015,57283,2905,30
899,556,57327,57447,2905,30
753,527,57547,57623,2905,30
792,526,57667,57799,2905,30
1019,534,57859,58095,2905,30
1144,538,58155,58287,2905,30
1245,523,58379,58475,2905,30
1327,521,58631,58802,2905,30
1477,543,59002,59090,2905,30
149,659,59510,59566,2905,30
1157,535,60226,60386,2905,30
899,504,60458,60578,2905,30
226,111,2,142,1301,30
295,178,178,314,1301,30
623,176,358,518,1301,30
642,169,538,682,1301,30
798,168,714,1098,1301,30
648,185,1618,2110,1301,30
642,157,2138,2678,1301,30
646,179,2886,2954,1301,30
644,174,2986,3102,1301,30
642,159,3150,3433,1301,30
846,172,3505,3685,1301,30
796,162,3765,3945,1301,30
706,164,3973,4121,1301,30
854,160,4181,4317,1301,30
1023,164,4349,4429,1301,30
1034,162,4457,4509,1301,30
1216,166,4765,4949,1301,30
1136,161,4997,5053,1301,30
1135,164,5081,5293,1301,30
538,214,5357,5413,1301,30
536,218,5441,5525,1301,30
274,185,5629,5865,1301,30
336,183,5893,6013,1301,30
528,186,6101,6277,1301,30
672,212,6309,6617,1301,30
692,223,6624,6756,1301,30
358,226,6808,6932,1301,30
244,255,6968,7088,1301,30
370,244,7152,7296,1301,30
623,276,7364,7524,1301,30
571,286,7548,7676,1301,30
531,291,7708,7880,1301,30
445,265,7908,8088,1301,30
756,291,8132,8228,1301,30
761,291,8244,8316,1301,30
728,291,8364,8492,1301,30
908,279,8756,9076,1301,30
949,284,9120,9196,1301,30
935,282,9228,9296,1301,30
1157,264,9384,9556,1301,30
1281,256,9660,9764,1301,30
1323,256,9792,10008,1301,30
1565,232,10128,10184,1301,30
1523,229,10212,10360,1301,30
1606,219,10396,10612,1301,30
1620,229,10724,10840,1301,30
244,209,11031,11128,1301,30
324,243,11287,11415,1301,30
562,247,11551,11707,1301,30
459,249,11735,11983,1301,30
610,259,12027,12167,1301,30
720,272,12199,12855,1301,30
951,269,13039,13167,1301,30
955,270,13195,13271,1301,30
924,292,13563,13651,1301,30
1104,281,13711,13939,1301,30
1062,278,14019,14155,1301,30
1072,288,14195,14267,1301,30
1295,268,14323,14406,1301,30
1304,257,14434,14586,1301,30
1302,256,14618,14874,1301,30
1443,213,14950,15010,1301,30
1363,240,15114,15286,1301,30
1214,242,15414,15686,1301,30
1257,252,15706,15926,1301,30
1319,244,15950,16118,1301,30
1148,249,16150,16502,1301,30
1135,133,16534,16658,1301,30
824,118,16710,16862,1301,30
638,109,16898,16954,1301,30
201,131,17094,17374,1301,30
170,165,17398,17622,1301,30
324,125,17666,17814,1301,30
470,149,17854,18050,1301,30
445,140,18066,18238,1301,30
614,175,18282,18429,1301,30
587,179,18449,18757,1301,30
263,206,18809,18949,1301,30
250,211,18977,19101,1301,30
259,220,19161,19381,1301,30
362,231,19409,19629,1301,30
476,233,19657,19933,1301,30
508,247,19953,20133,1301,30
512,246,20177,20245,1301,30
684,260,20281,20525,1301,30
721,269,20545,20713,1301,30
822,287,20745,20865,1301,30
974,275,21001,21201,1301,30
976,276,21229,21329,1301,30
1035,277,21401,21521,1301,30
1172,263,21645,21725,1301,30
1121,259,21833,21885,1301,30
1117,272,21900,21976,1301,30
1129,281,22005,22124,1301,30
1308,266,22184,22704,1301,30
1301,250,22732,22976,1301,30
1428,249,23008,23156,1301,30
1470,250,23176,23604,1301,30
1605,228,23640,23920,1301,30
1604,226,23936,24004,1301,30
1490,245,24040,24172,1301,30
1530,259,24236,24400,1301,30
1608,231,24440,24544,1301,30
286,301,24760,24884,1301,30
216,307,24908,25040,1301,30
241,322,25116,25180,1301,30
212,307,25212,25352,1301,30
228,315,25392,25456,1301,30
264,295,25484,25668,1301,30
