Character,X_Start,Y_Start,X_End,Y_End,Line_Number,Word_Number,Char_Number_in_Word,X_Center,Y_Center
L,691.0,140,708.0,164,0,0,1,699.5,148.0
a,708.0,140,725.0,164,0,0,2,716.5,146.5
 ,725.0,140,742.0,164,0,0,3,733.5,140.0
e,742.0,140,759.0,164,0,0,4,750.5,146.5
x,759.0,140,776.0,164,0,0,5,767.5,146.5
t,776.0,140,793.0,164,0,0,6,784.5,148.5
i,793.0,140,810.0,164,0,0,7,801.5,149.0
n,810.0,140,827.0,164,0,0,8,818.5,146.5
c,827.0,140,844.0,164,0,0,9,835.5,146.5
i,844.0,140,861.0,164,0,0,10,852.5,149.0
ó,861.0,140,878.0,164,0,0,11,869.5,149.0
n,878.0,140,895.0,164,0,0,12,886.5,146.5
 ,895.0,140,912.0,164,0,0,13,903.5,140.0
d,912.0,140,930.0,164,0,0,14,921.0,148.5
e,930.0,140,947.0,164,0,0,15,938.5,146.5
 ,947.0,140,964.0,164,0,0,16,955.5,140.0
l,964.0,140,981.0,164,0,0,17,972.5,148.5
o,981.0,140,998.0,164,0,0,18,989.5,146.5
s,998.0,140,1015.0,164,0,0,19,1006.5,146.5
 ,1015.0,140,1032.0,164,0,0,20,1023.5,140.0
n,1032.0,140,1049.0,164,0,0,21,1040.5,146.5
e,1049.0,140,1066.0,164,0,0,22,1057.5,146.5
a,1066.0,140,1083.0,164,0,0,23,1074.5,146.5
n,1083.0,140,1100.0,164,0,0,24,1091.5,146.5
d,1100.0,140,1118.0,164,0,0,25,1109.0,148.5
e,1118.0,140,1135.0,164,0,0,26,1126.5,146.5
r,1135.0,140,1152.0,164,0,0,27,1143.5,146.5
t,1152.0,140,1169.0,164,0,0,28,1160.5,148.5
a,1169.0,140,1186.0,164,0,0,29,1177.5,146.5
l,1186.0,140,1203.0,164,0,0,30,1194.5,148.5
e,1203.0,140,1220.0,164,0,0,31,1211.5,146.5
s,1220.0,140,1237.0,164,0,0,32,1228.5,146.5
E,200,252,217,276,1,1,1,208.5,260.0
l,217,252,234,276,1,1,2,225.5,260.5
 ,234,252,251,276,1,1,0,242.5,252.0
i,251,252,268,276,1,2,1,259.5,261.0
n,268,252,285,276,1,2,2,276.5,258.0
t,285,252,302,276,1,2,3,293.5,260.0
e,302,252,319,276,1,2,4,310.5,258.0
r,319,252,336,276,1,2,5,327.5,258.0
é,336,252,353,276,1,2,6,344.5,261.0
s,353,252,370,276,1,2,7,361.5,258.0
 ,370,252,387,276,1,2,0,378.5,252.0
p,387,252,404,281,1,3,1,395.5,260.5
o,404,252,421,276,1,3,2,412.5,258.0
r,421,252,438,276,1,3,3,429.5,258.0
 ,438,252,455,276,1,3,0,446.5,252.0
l,455,252,472,276,1,4,1,463.5,260.5
a,472,252,489,276,1,4,2,480.5,258.0
 ,489,252,506,276,1,4,0,497.5,252.0
e,506,252,523,276,1,5,1,514.5,258.0
x,523,252,540,276,1,5,2,531.5,258.0
t,540,252,557,276,1,5,3,548.5,260.0
