char,char_xmin,char_ymin,char_xmax,char_ymax,block,paragraph,line_number,word_nr,letter_nr,word,char_x_center,char_y_center,assigned_line,trial_id
L,692,146,707,164,1,1,1,1,0,La,700,155,1,10
a,707,146,724,164,1,1,1,1,1,La,716,155,1,10
 ,724,146,742,164,1,1,1,1,2,La,733,155,1,10
e,742,146,757,164,1,1,1,2,0,extinción,750,155,1,10
x,757,146,774,164,1,1,1,2,1,extinción,766,155,1,10
t,774,146,792,164,1,1,1,2,2,extinción,783,155,1,10
i,792,146,807,164,1,1,1,2,3,extinción,800,155,1,10
n,807,146,825,164,1,1,1,2,4,extinción,816,155,1,10
c,825,146,841,164,1,1,1,2,5,extinción,833,155,1,10
i,841,146,857,164,1,1,1,2,6,extinción,849,155,1,10
ó,857,146,875,164,1,1,1,2,7,extinción,866,155,1,10
n,875,146,892,164,1,1,1,2,8,extinción,884,155,1,10
 ,892,146,910,164,1,1,1,2,9,extinción,901,155,1,10
d,910,146,926,164,1,1,1,3,0,de,918,155,1,10
e,926,146,942,164,1,1,1,3,1,de,934,155,1,10
 ,942,146,962,164,1,1,1,3,2,de,952,155,1,10
l,962,146,975,164,1,1,1,4,0,los,968,155,1,10
o,975,146,993,164,1,1,1,4,1,los,984,155,1,10
s,993,146,1008,164,1,1,1,4,2,los,1000,155,1,10
 ,1008,146,1028,164,1,1,1,4,3,los,1018,155,1,10
n,1028,146,1043,164,1,1,1,5,0,neandertales,1036,155,1,10
e,1043,146,1060,164,1,1,1,5,1,neandertales,1052,155,1,10
a,1060,146,1077,164,1,1,1,5,2,neandertales,1068,155,1,10
n,1077,146,1093,164,1,1,1,5,3,neandertales,1085,155,1,10
d,1093,146,1111,164,1,1,1,5,4,neandertales,1102,155,1,10
e,1111,146,1127,164,1,1,1,5,5,neandertales,1119,155,1,10
r,1127,146,1144,164,1,1,1,5,6,neandertales,1136,155,1,10
t,1144,146,1161,164,1,1,1,5,7,neandertales,1152,155,1,10
a,1161,146,1177,164,1,1,1,5,8,neandertales,1169,155,1,10
l,1177,146,1193,164,1,1,1,5,9,neandertales,1185,155,1,10
e,1193,146,1211,164,1,1,1,5,10,neandertales,1202,155,1,10
s,1211,146,1227,164,1,1,1,5,11,neandertales,1219,155,1,10
E,201,258,215,281,1,1,2,1,0,El,208,270,2,10
l,215,258,231,281,1,1,2,1,1,El,223,270,2,10
 ,231,258,254,281,1,1,2,1,2,El,242,270,2,10
i,254,258,265,281,1,1,2,2,0,interés,260,270,2,10
n,265,258,283,281,1,1,2,2,1,interés,274,270,2,10
t,283,258,300,281,1,1,2,2,2,interés,292,270,2,10
e,300,258,317,281,1,1,2,2,3,interés,308,270,2,10
r,317,258,334,281,1,1,2,2,4,interés,326,270,2,10
é,334,258,351,281,1,1,2,2,5,interés,342,270,2,10
s,351,258,367,281,1,1,2,2,6,interés,359,270,2,10
 ,367,258,388,281,1,1,2,2,7,interés,378,270,2,10
p,388,258,402,281,1,1,2,3,0,por,395,270,2,10
o,402,258,419,281,1,1,2,3,1,por,410,270,2,10
r,419,258,436,281,1,1,2,3,2,por,428,270,2,10
 ,436,258,458,281,1,1,2,3,3,por,447,270,2,10
l,458,258,469,281,1,1,2,4,0,la,464,270,2,10
a,469,258,487,281,1,1,2,4,1,la,478,270,2,10
 ,487,258,508,281,1,1,2,4,2,la,498,270,2,10
e,508,258,521,281,1,1,2,5,0,extinción,514,270,2,10
x,521,258,538,281,1,1,2,5,1,extinción,530,270,2,10
t,538,258,555,281,1,1,2,5,2,extinción,546,270,2,10
i,555,258,571,281,1,1,2,5,3,extinción,563,270,2,10
n,571,258,589,281,1,1,2,5,4,extinción,580,270,2,10
c,589,258,606,281,1,1,2,5,5,extinción,598,270,2,10
i,606,258,622,281,1,1,2,5,6,extinción,614,270,2,10
ó,622,258,640,281,1,1,2,5,7,extinción,631,270,2,10
n,640,258,657,281,1,1,2,5,8,extinción,648,270,2,10
 ,657,258,679,281,1,1,2,5,9,extinción,668,270,2,10
s,679,258,690,281,1,1,2,6,0,siempre,684,270,2,10
i,690,258,707,281,1,1,2,6,1,siempre,698,270,2,10
e,707,258,725,281,1,1,2,6,2,siempre,716,270,2,10
m,725,258,744,281,1,1,2,6,3,siempre,734,270,2,10
p,744,258,759,281,1,1,2,6,4,siempre,752,270,2,10
r,759,258,776,281,1,1,2,6,5,siempre,768,270,2,10
e,776,258,793,281,1,1,2,6,6,siempre,784,270,2,10
 ,793,258,813,281,1,1,2,6,7,siempre,803,270,2,10
h,813,258,827,281,1,1,2,7,0,ha,820,270,2,10
a,827,258,844,281,1,1,2,7,1,ha,836,270,2,10
 ,844,258,865,281,1,1,2,7,2,ha,854,270,2,10
e,865,258,878,281,1,1,2,8,0,existido.,872,270,2,10
x,878,258,895,281,1,1,2,8,1,existido.,886,270,2,10
i,895,258,911,281,1,1,2,8,2,existido.,903,270,2,10
s,911,258,928,281,1,1,2,8,3,existido.,920,270,2,10
t,928,258,946,281,1,1,2,8,4,existido.,937,270,2,10
i,946,258,962,281,1,1,2,8,5,existido.,954,270,2,10
d,962,258,981,281,1,1,2,8,6,existido.,972,270,2,10
o,981,258,997,281,1,1,2,8,7,existido.,989,270,2,10
.,997,258,1009,281,1,1,2,8,8,existido.,1003,270,2,10
 ,1009,258,1034,281,1,1,2,8,9,existido.,1022,270,2,10
E,1034,258,1048,281,1,1,2,9,0,En,1041,270,2,10
n,1048,258,1065,281,1,1,2,9,1,En,1056,270,2,10
 ,1065,258,1086,281,1,1,2,9,2,En,1076,270,2,10
r,1086,258,1099,281,1,1,2,10,0,"realidad,",1092,270,2,10
e,1099,258,1116,281,1,1,2,10,1,"realidad,",1108,270,2,10
a,1116,258,1133,281,1,1,2,10,2,"realidad,",1124,270,2,10
l,1133,258,1149,281,1,1,2,10,3,"realidad,",1141,270,2,10
i,1149,258,1166,281,1,1,2,10,4,"realidad,",1158,270,2,10
d,1166,258,1185,281,1,1,2,10,5,"realidad,",1176,270,2,10
a,1185,258,1201,281,1,1,2,10,6,"realidad,",1193,270,2,10
d,1201,258,1219,281,1,1,2,10,7,"realidad,",1210,270,2,10
",",1219,258,1230,281,1,1,2,10,8,"realidad,",1224,270,2,10
 ,1230,258,1256,281,1,1,2,10,9,"realidad,",1243,270,2,10
e,1256,258,1269,281,1,1,2,11,0,el,1262,270,2,10
l,1269,258,1285,281,1,1,2,11,1,el,1277,270,2,10
 ,1285,258,1308,281,1,1,2,11,2,el,1296,270,2,10
f,1308,258,1320,281,1,1,2,12,0,final,1314,270,2,10
i,1320,258,1336,281,1,1,2,12,1,final,1328,270,2,10
n,1336,258,1354,281,1,1,2,12,2,final,1345,270,2,10
a,1354,258,1371,281,1,1,2,12,3,final,1362,270,2,10
l,1371,258,1387,281,1,1,2,12,4,final,1379,270,2,10
 ,1387,258,1409,281,1,1,2,12,5,final,1398,270,2,10
d,1409,258,1423,281,1,1,2,13,0,de,1416,270,2,10
e,1423,258,1439,281,1,1,2,13,1,de,1431,270,2,10
 ,1439,258,1461,281,1,1,2,13,2,de,1450,270,2,10
l,1461,258,1472,281,1,1,2,14,0,los,1466,270,2,10
o,1472,258,1490,281,1,1,2,14,1,los,1481,270,2,10
s,1490,258,1506,281,1,1,2,14,2,los,1498,270,2,10
 ,1506,258,1528,281,1,1,2,14,3,los,1517,270,2,10
n,1528,258,1541,281,1,1,2,15,0,neandertales,1534,270,2,10
e,1541,258,1558,281,1,1,2,15,1,neandertales,1550,270,2,10
a,1558,258,1575,281,1,1,2,15,2,neandertales,1566,270,2,10
n,1575,258,1592,281,1,1,2,15,3,neandertales,1584,270,2,10
d,1592,258,1610,281,1,1,2,15,4,neandertales,1601,270,2,10
e,1610,258,1626,281,1,1,2,15,5,neandertales,1618,270,2,10
r,1626,258,1643,281,1,1,2,15,6,neandertales,1634,270,2,10
t,1643,258,1660,281,1,1,2,15,7,neandertales,1652,270,2,10
a,1660,258,1677,281,1,1,2,15,8,neandertales,1668,270,2,10
l,1677,258,1693,281,1,1,2,15,9,neandertales,1685,270,2,10
e,1693,258,1711,281,1,1,2,15,10,neandertales,1702,270,2,10
s,1711,258,1727,281,1,1,2,15,11,neandertales,1719,270,2,10
s,203,314,214,337,1,1,3,1,0,se,208,326,3,10
e,214,314,232,337,1,1,3,1,1,se,223,326,3,10
 ,232,314,252,337,1,1,3,1,2,se,242,326,3,10
h,252,314,266,337,1,1,3,2,0,ha,259,326,3,10
a,266,314,283,337,1,1,3,2,1,ha,274,326,3,10
 ,283,314,303,337,1,1,3,2,2,ha,293,326,3,10
p,303,314,317,337,1,1,3,3,0,percibido,310,326,3,10
e,317,314,334,337,1,1,3,3,1,percibido,326,326,3,10
r,334,314,351,337,1,1,3,3,2,percibido,342,326,3,10
c,351,314,368,337,1,1,3,3,3,percibido,360,326,3,10
i,368,314,384,337,1,1,3,3,4,percibido,376,326,3,10
b,384,314,402,337,1,1,3,3,5,percibido,393,326,3,10
i,402,314,418,337,1,1,3,3,6,percibido,410,326,3,10
d,418,314,437,337,1,1,3,3,7,percibido,428,326,3,10
o,437,314,453,337,1,1,3,3,8,percibido,445,326,3,10
 ,453,314,474,337,1,1,3,3,9,percibido,464,326,3,10
e,474,314,487,337,1,1,3,4,0,en,480,326,3,10
n,487,314,504,337,1,1,3,4,1,en,496,326,3,10
 ,504,314,525,337,1,1,3,4,2,en,514,326,3,10
d,525,314,539,337,1,1,3,5,0,diferentes,532,326,3,10
i,539,314,554,337,1,1,3,5,1,diferentes,546,326,3,10
f,554,314,572,337,1,1,3,5,2,diferentes,563,326,3,10
e,572,314,589,337,1,1,3,5,3,diferentes,580,326,3,10
r,589,314,606,337,1,1,3,5,4,diferentes,598,326,3,10
e,606,314,623,337,1,1,3,5,5,diferentes,614,326,3,10
n,623,314,640,337,1,1,3,5,6,diferentes,632,326,3,10
t,640,314,657,337,1,1,3,5,7,diferentes,648,326,3,10
e,657,314,674,337,1,1,3,5,8,diferentes,666,326,3,10
s,674,314,690,337,1,1,3,5,9,diferentes,682,326,3,10
 ,690,314,710,337,1,1,3,5,10,diferentes,700,326,3,10
m,710,314,727,337,1,1,3,6,0,medios,718,326,3,10
e,727,314,742,337,1,1,3,6,1,medios,734,326,3,10
d,742,314,760,337,1,1,3,6,2,medios,751,326,3,10
i,760,314,775,337,1,1,3,6,3,medios,768,326,3,10
o,775,314,793,337,1,1,3,6,4,medios,784,326,3,10
s,793,314,809,337,1,1,3,6,5,medios,801,326,3,10
 ,809,314,829,337,1,1,3,6,6,medios,819,326,3,10
m,829,314,846,337,1,1,3,7,0,más,838,326,3,10
á,846,314,861,337,1,1,3,7,1,más,854,326,3,10
s,861,314,877,337,1,1,3,7,2,más,869,326,3,10
 ,877,314,899,337,1,1,3,7,3,más,888,326,3,10
c,899,314,912,337,1,1,3,8,0,como,906,326,3,10
o,912,314,929,337,1,1,3,8,1,como,920,326,3,10
m,929,314,948,337,1,1,3,8,2,como,938,326,3,10
o,948,314,963,337,1,1,3,8,3,como,956,326,3,10
 ,963,314,983,337,1,1,3,8,4,como,973,326,3,10
u,983,314,997,337,1,1,3,9,0,un,990,326,3,10
n,997,314,1014,337,1,1,3,9,1,un,1006,326,3,10
 ,1014,314,1033,337,1,1,3,9,2,un,1024,326,3,10
m,1033,314,1050,337,1,1,3,10,0,misterio,1042,326,3,10
i,1050,314,1064,337,1,1,3,10,1,misterio,1057,326,3,10
s,1064,314,1081,337,1,1,3,10,2,misterio,1072,326,3,10
t,1081,314,1099,337,1,1,3,10,3,misterio,1090,326,3,10
e,1099,314,1116,337,1,1,3,10,4,misterio,1108,326,3,10
r,1116,314,1133,337,1,1,3,10,5,misterio,1124,326,3,10
