x,y,start,stop,subject,trial_id
841,125,236,396,3,10
762,98,428,648,3,10
697,104,672,800,3,10
722,114,824,1364,3,10
837,78,1392,1816,3,10
1041,91,1852,2191,3,10
1185,107,2223,2667,3,10
1237,91,2683,2963,3,10
801,107,3011,3607,3,10
697,90,3635,4223,3,10
852,114,4255,4723,3,10
980,112,4751,5171,3,10
1162,112,5263,5523,3,10
1222,97,5547,5810,3,10
239,185,5895,6018,3,10
241,197,6034,6246,3,10
291,221,6290,6686,3,10
492,212,6722,7042,3,10
611,209,7070,7290,3,10
783,230,7322,7574,3,10
724,227,7598,7738,3,10
539,187,7774,8162,3,10
732,221,8202,8466,3,10
879,228,8490,8886,3,10
966,228,8914,9058,3,10
1122,232,9090,9414,3,10
1288,228,9446,9694,3,10
1419,180,9734,9905,3,10
1639,179,9954,10381,3,10
1723,195,10409,10549,3,10
290,255,10657,10813,3,10
222,248,10849,11069,3,10
344,269,11097,11389,3,10
538,277,11433,11793,3,10
739,286,11825,12137,3,10
940,351,12189,12405,3,10
1008,287,12569,12717,3,10
860,278,12761,13209,3,10
734,283,13240,13540,3,10
985,276,13588,13876,3,10
1108,286,13905,14312,3,10
1283,271,14348,14660,3,10
1455,356,14724,15008,3,10
1562,287,15052,15440,3,10
286,318,15760,15852,3,10
172,313,15892,16052,3,10
234,318,16080,16368,3,10
507,318,16484,16744,3,10
230,314,16784,17192,3,10
1386,312,17328,17483,3,10
1390,353,17499,17719,3,10
1509,307,17767,17983,3,10
1430,392,18015,18147,3,10
1689,272,18203,18323,3,10
398,320,18423,18603,3,10
484,318,18639,18843,3,10
652,348,18875,19243,3,10
800,372,19271,19535,3,10
952,373,19563,19879,3,10
1125,440,20003,20123,3,10
1347,362,20251,20435,3,10
1531,304,20483,20854,3,10
279,417,20959,21234,3,10
485,401,21290,21762,3,10
685,413,21806,22162,3,10
760,428,22186,22490,3,10
886,423,22518,22794,3,10
988,423,22838,23070,3,10
1147,409,23102,23482,3,10
1402,417,23518,23678,3,10
1353,399,23702,23870,3,10
1487,428,23914,24186,3,10
282,479,24278,24606,3,10
523,483,24682,24958,3,10
742,484,24990,25318,3,10
833,484,25345,25465,3,10
979,485,25497,25753,3,10
1125,485,25825,26041,3,10
1226,478,26069,26301,3,10
1410,470,26337,26677,3,10
1555,455,26705,26993,3,10
194,505,27273,27581,3,10
400,524,27613,28093,3,10
651,545,28133,28440,3,10
894,536,28481,28836,3,10
1004,533,28924,29128,3,10
1212,548,29168,29328,3,10
1175,538,29380,29472,3,10
1324,532,29604,29764,3,10
1520,538,29800,30036,3,10
1638,514,30064,30340,3,10
244,573,30448,30796,3,10
486,589,30832,31376,3,10
268,566,31412,31656,3,10
219,562,31680,31996,3,10
481,591,32028,32352,3,10
726,584,32388,32751,3,10
874,630,32824,33287,3,10
1114,622,33323,33579,3,10
1232,612,33659,33875,3,10
1428,594,33947,34127,3,10
1521,576,34175,34499,3,10
1635,603,34535,34651,3,10
1625,560,34695,34803,3,10
223,637,34907,35399,3,10
493,653,35431,35906,3,10
649,655,35935,36314,3,10
743,668,36350,36658,3,10
816,663,36682,36902,3,10
218,660,36958,37382,3,10
266,645,37406,37754,3,10
353,644,37778,37990,3,10
493,657,38018,39130,3,10
623,665,39158,39574,3,10
715,666,39618,39802,3,10
806,670,39954,40185,3,10
254,408,40265,40725,3,10
481,389,40753,40949,3,10
414,401,40985,41129,3,10
731,397,41165,41605,3,10
912,409,41633,41957,3,10
985,414,41981,42137,3,10
1138,448,42173,42537,3,10
1192,461,42561,42785,3,10
1150,499,42805,42945,3,10
842,35,43105,43221,3,10
724,86,43253,43549,3,10
712,116,43569,44064,3,10
834,100,44088,44436,3,10
1041,92,44484,44780,3,10
1166,121,44812,45240,3,10
258,182,45328,45752,3,10
270,188,45772,46008,3,10
518,233,46044,46528,3,10
587,226,46552,46832,3,10
752,216,46864,47072,3,10
932,235,47104,47795,3,10
323,616,47871,48031,3,10
219,660,48059,48259,3,10
260,601,48419,48723,3,10
488,650,48767,49163,3,10
662,666,49195,49411,3,10
651,648,49535,49675,3,10
747,670,49707,50031,3,10
803,646,50055,50399,3,10
857,650,50423,50643,3,10
