Trial;Trial Start Raw Time [ms];Stimulus;Export Start Trial Time [ms];Export End Trial Time [ms];Participant;Color;Tracking Ratio [%];Category Group;Category;Eye L/R;Index;Event Start Trial Time [ms];Event End Trial Time [ms];Event Start Raw Time [ms];Event End Raw Time [ms];Event Duration [ms];Fixation Position X [px];Fixation Position Y [px];Fixation Average Pupil Size X [px];Fixation Average Pupil Size Y [px];Fixation Average Pupil Diameter [mm];Fixation Dispersion X [px];Fixation Dispersion Y [px];AOI Name
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;1;235.9;396.0;1739439978393.5;1739439978553.6;160.1;841.2;125.1;3.5;3.5;3.5;20.0;32.2;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;2;428.0;647.9;1739439978585.6;1739439978805.5;219.9;761.5;97.7;3.5;3.5;3.5;14.8;26.3;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;3;671.9;799.7;1739439978829.5;1739439978957.3;127.8;697.0;104.3;3.5;3.5;3.5;10.9;15.2;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;4;823.8;1363.8;1739439978981.4;1739439979521.4;540.0;721.7;114.2;3.5;3.5;3.5;25.4;62.8;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;5;1391.7;1815.5;1739439979549.3;1739439979973.1;423.8;837.2;78.3;3.5;3.5;3.5;22.1;56.1;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;6;1851.5;2191.4;1739439980009.2;1739439980349.0;339.8;1041.2;91.4;3.6;3.6;3.6;19.1;60.5;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;7;2223.4;2667.3;1739439980381.0;1739439980824.9;443.9;1185.4;107.3;3.5;3.5;3.5;20.2;38.5;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;8;2683.4;2963.2;1739439980841.0;1739439981120.8;279.8;1236.8;90.9;3.6;3.6;3.6;25.8;63.4;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;9;3011.3;3607.1;1739439981168.9;1739439981764.7;595.8;801.2;106.9;3.6;3.6;3.6;20.4;40.2;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;10;3635.1;4223.0;1739439981792.7;1739439982380.6;587.9;696.6;90.0;3.6;3.6;3.6;22.3;53.6;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;11;4254.9;4722.8;1739439982412.5;1739439982880.4;467.9;852.5;113.9;3.7;3.7;3.7;23.0;38.1;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;12;4750.8;5170.7;1739439982908.4;1739439983328.3;419.9;980.0;112.1;3.7;3.7;3.7;25.4;28.9;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;13;5262.6;5522.6;1739439983420.3;1739439983680.2;259.9;1162.1;112.3;3.6;3.6;3.6;15.5;30.3;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;14;5546.7;5810.5;1739439983704.3;1739439983968.1;263.8;1222.3;96.6;3.5;3.5;3.5;17.6;18.1;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;15;5894.6;6018.4;1739439984052.2;1739439984176.0;123.8;238.9;184.9;3.5;3.5;3.5;34.8;50.1;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;16;6034.4;6246.3;1739439984192.0;1739439984403.9;211.9;240.6;197.4;3.6;3.6;3.6;41.4;41.6;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;17;6290.4;6686.3;1739439984448.0;1739439984843.9;395.9;290.9;220.8;3.4;3.4;3.4;51.3;54.0;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;18;6722.3;7042.2;1739439984879.9;1739439985199.8;319.9;491.9;212.2;3.5;3.5;3.5;25.0;22.4;White Space
