Name,char_xmin,char_ymin,char_xmax,char_ymax,width,height,paragraph,section,word,letter,region,assigned_line,char,char_x_center,char_y_center,trial_id
__re_p1_s1_w1_c1_r0_l1_H,260,82,290,123,30,41,1,1,1,1,0,1,H,275,102.5,1
__re_p1_s1_w1_c2_r0_l1_a,290,82,310,123,20,41,1,1,1,2,0,1,a,300,102.5,1
__re_p1_s1_w1_c3_r0_l1_y,311,82,336,123,25,41,1,1,1,3,0,1,y,323.5,102.5,1
__re_p1_s1_w1_c1_r0_l1_q,337,82,365,123,28,41,1,1,1,1,0,1,q,351,102.5,1
__re_p1_s1_w1_c2_r0_l1_u,365,82,385,123,20,41,1,1,1,2,0,1,u,375,102.5,1
__re_p1_s1_w1_c3_r0_l1_e,386,82,414,123,28,41,1,1,1,3,0,1,e,400,102.5,1
__re_p1_s1_w1_c1_r0_l1_d,414,82,442,123,28,41,1,1,1,1,0,1,d,428,102.5,1
__re_p1_s1_w1_c2_r0_l1_e,443,82,463,123,20,41,1,1,1,2,0,1,e,453,102.5,1
__re_p1_s1_w1_c3_r0_l1_c,463,82,481,123,18,41,1,1,1,3,0,1,c,472,102.5,1
__re_p1_s1_w1_c4_r0_l1_i,481,82,488,123,7,41,1,1,1,4,0,1,i,484.5,102.5,1
__re_p1_s1_w1_c5_r0_l1_r,489,82,508,123,19,41,1,1,1,5,0,1,r,498.5,102.5,1
__re_p1_s1_w1_c1_r0_l1_q,509,82,537,123,28,41,1,1,1,1,0,1,q,523,102.5,1
__re_p1_s1_w1_c2_r0_l1_u,537,82,557,123,20,41,1,1,1,2,0,1,u,547,102.5,1
__re_p1_s1_w1_c3_r0_l1_e,557,82,577,123,20,41,1,1,1,3,0,1,e,567,102.5,1
"__re_p1_s1_w1_c4_r0_l1_,",578,82,596,123,18,41,1,1,1,4,0,1,",",587,102.5,1
__re_p1_s1_w1_c1_r0_l1_e,596,82,624,123,28,41,1,1,1,1,0,1,e,610,102.5,1
__re_p1_s1_w1_c2_r0_l1_n,624,82,652,123,28,41,1,1,1,2,0,1,n,638,102.5,1
__re_p1_s1_w1_c1_r0_l1_l,653,82,668,123,15,41,1,1,1,1,0,1,l,660.5,102.5,1
__re_p1_s1_w1_c2_r0_l1_a,669,82,697,123,28,41,1,1,1,2,0,1,a,683,102.5,1
__re_p1_s1_w1_c1_r0_l1_c,698,82,724,123,26,41,1,1,1,1,0,1,c,711,102.5,1
__re_p1_s1_w1_c2_r0_l1_u,724,82,744,123,20,41,1,1,1,2,0,1,u,734,102.5,1
__re_p1_s1_w1_c3_r0_l1_l,744,82,751,123,7,41,1,1,1,3,0,1,l,747.5,102.5,1
__re_p1_s1_w1_c4_r0_l1_t,752,82,762,123,10,41,1,1,1,4,0,1,t,757,102.5,1
__re_p1_s1_w1_c5_r0_l1_u,762,82,782,123,20,41,1,1,1,5,0,1,u,772,102.5,1
__re_p1_s1_w1_c6_r0_l1_r,782,82,793,123,11,41,1,1,1,6,0,1,r,787.5,102.5,1
__re_p1_s1_w1_c7_r0_l1_a,794,82,822,123,28,41,1,1,1,7,0,1,a,808,102.5,1
__re_p1_s1_w1_c1_r0_l1_o,823,82,851,123,28,41,1,1,1,1,0,1,o,837,102.5,1
__re_p1_s1_w1_c2_r0_l1_c,851,82,869,123,18,41,1,1,1,2,0,1,c,860,102.5,1
__re_p1_s1_w1_c3_r0_l1_c,869,82,887,123,18,41,1,1,1,3,0,1,c,878,102.5,1
__re_p1_s1_w1_c4_r0_l1_i,887,82,894,123,7,41,1,1,1,4,0,1,i,890.5,102.5,1
__re_p1_s1_w1_c5_r0_l1_d,895,82,915,123,20,41,1,1,1,5,0,1,d,905,102.5,1
__re_p1_s1_w1_c6_r0_l1_e,915,82,935,123,20,41,1,1,1,6,0,1,e,925,102.5,1
__re_p1_s1_w1_c7_r0_l1_n,935,82,955,123,20,41,1,1,1,7,0,1,n,945,102.5,1
__re_p1_s1_w1_c8_r0_l1_t,956,82,966,123,10,41,1,1,1,8,0,1,t,961,102.5,1
__re_p1_s1_w1_c9_r0_l1_a,966,82,986,123,20,41,1,1,1,9,0,1,a,976,102.5,1
__re_p1_s1_w1_c10_r0_l1_l,986,82,993,123,7,41,1,1,1,10,0,1,l,989.5,102.5,1
"__re_p1_s1_w1_c11_r0_l1_,",994,82,1012,123,18,41,1,1,1,11,0,1,",",1003,102.5,1
__re_p1_s1_w1_c1_r0_l1_i,1012,82,1027,123,15,41,1,1,1,1,0,1,i,1019.5,102.5,1
__re_p1_s1_w1_c2_r0_l1_n,1028,82,1048,123,20,41,1,1,1,2,0,1,n,1038,102.5,1
__re_p1_s1_w1_c3_r0_l1_c,1048,82,1066,123,18,41,1,1,1,3,0,1,c,1057,102.5,1
__re_p1_s1_w1_c4_r0_l1_l,1066,82,1073,123,7,41,1,1,1,4,0,1,l,1069.5,102.5,1
__re_p1_s1_w1_c5_r0_l1_u,1074,82,1094,123,20,41,1,1,1,5,0,1,u,1084,102.5,1
__re_p1_s1_w1_c6_r0_l1_s,1095,82,1113,123,18,41,1,1,1,6,0,1,s,1104,102.5,1
__re_p1_s1_w1_c7_r0_l1_o,1113,82,1141,123,28,41,1,1,1,7,0,1,o,1127,102.5,1
__re_p1_s1_w1_c1_r0_l1_y,1141,82,1167,123,26,41,1,1,1,1,0,1,y,1154,102.5,1
__re_p1_s1_w1_c2_r0_l1_a,1167,82,1195,123,28,41,1,1,1,2,0,1,a,1181,102.5,1
__re_p1_s1_w1_c1_r0_l1_e,1196,82,1224,123,28,41,1,1,1,1,0,1,e,1210,102.5,1
__re_p1_s1_w1_c2_r0_l1_n,1224,82,1252,123,28,41,1,1,1,2,0,1,n,1238,102.5,1
__re_p1_s1_w1_c1_r0_l1_l,1253,82,1268,123,15,41,1,1,1,1,0,1,l,1260.5,102.5,1
__re_p1_s1_w1_c2_r0_l1_a,1269,82,1297,123,28,41,1,1,1,2,0,1,a,1283,102.5,1
__re_p1_s1_w1_c1_r0_l1_é,1298,82,1326,123,28,41,1,1,1,1,0,1,é,1312,102.5,1
__re_p1_s1_w1_c2_r0_l1_p,1326,82,1346,123,20,41,1,1,1,2,0,1,p,1336,102.5,1
__re_p1_s1_w1_c3_r0_l1_o,1346,82,1366,123,20,41,1,1,1,3,0,1,o,1356,102.5,1
__re_p1_s1_w1_c4_r0_l1_c,1366,82,1384,123,18,41,1,1,1,4,0,1,c,1375,102.5,1
__re_p1_s1_w1_c5_r0_l1_a,1384,82,1412,123,28,41,1,1,1,5,0,1,a,1398,102.5,1
__re_p1_s1_w1_c1_r0_l1_d,1413,82,1441,123,28,41,1,1,1,1,0,1,d,1427,102.5,1
__re_p1_s1_w1_c2_r0_l1_e,1441,82,1468,123,27,41,1,1,1,2,0,1,e,1454.5,102.5,1
__re_p1_s1_w1_c1_r0_l1_A,1469,82,1500,123,31,41,1,1,1,1,0,1,A,1484.5,102.5,1
__re_p1_s1_w1_c2_r0_l1_r,1500,82,1511,123,11,41,1,1,1,2,0,1,r,1505.5,102.5,1
__re_p1_s1_w1_c3_r0_l1_i,1512,82,1519,123,7,41,1,1,1,3,0,1,i,1515.5,102.5,1
__re_p1_s1_w1_c4_r0_l1_s,1520,82,1538,123,18,41,1,1,1,4,0,1,s,1529,102.5,1
__re_p1_s1_w1_c5_r0_l1_t,1538,82,1548,123,10,41,1,1,1,5,0,1,t,1543,102.5,1
__re_p1_s1_w1_c6_r0_l1_ó,1548,82,1568,123,20,41,1,1,1,6,0,1,ó,1558,102.5,1
__re_p1_s1_w1_c7_r0_l1_t,1568,82,1578,123,10,41,1,1,1,7,0,1,t,1573,102.5,1
__re_p1_s1_w1_c8_r0_l1_e,1578,82,1598,123,20,41,1,1,1,8,0,1,e,1588,102.5,1
__re_p1_s1_w1_c9_r0_l1_l,1598,82,1605,123,7,41,1,1,1,9,0,1,l,1601.5,102.5,1
__re_p1_s1_w1_c10_r0_l1_e,1606,82,1626,123,20,41,1,1,1,10,0,1,e,1616,102.5,1
__re_p1_s1_w1_c11_r0_l1_s,1626,82,1644,123,18,41,1,1,1,11,0,1,s,1635,102.5,1
"__re_p1_s1_w1_c12_r0_l1_,",1644,82,1660,123,16,41,1,1,1,12,0,1,",",1652,102.5,1
__re_p1_s1_w1_c1_r0_l1_h,260,123,285,165,25,42,1,1,1,1,0,1,h,272.5,144,1
__re_p1_s1_w1_c2_r0_l1_a,285,123,305,165,20,42,1,1,1,2,0,1,a,295,144,1
__re_p1_s1_w1_c3_r0_l1_b,305,123,325,165,20,42,1,1,1,3,0,1,b,315,144,1
__re_p1_s1_w1_c4_r0_l1_í,325,123,335,165,10,42,1,1,1,4,0,1,í,330,144,1
__re_p1_s1_w1_c5_r0_l1_a,335,123,362,165,27,42,1,1,1,5,0,1,a,348.5,144,1
__re_p1_s1_w1_c1_r0_l1_o,362,123,389,165,27,42,1,1,1,1,0,1,o,375.5,144,1
__re_p1_s1_w1_c2_r0_l1_t,389,123,399,165,10,42,1,1,1,2,0,1,t,394,144,1
__re_p1_s1_w1_c3_r0_l1_r,399,123,410,165,11,42,1,1,1,3,0,1,r,404.5,144,1
__re_p1_s1_w1_c4_r0_l1_a,411,123,431,165,20,42,1,1,1,4,0,1,a,421,144,1
__re_p1_s1_w1_c5_r0_l1_s,431,123,455,165,24,42,1,1,1,5,0,1,s,443,144,1
__re_p1_s1_w1_c1_r0_l1_d,456,123,482,165,26,42,1,1,1,1,0,1,d,469,144,1
__re_p1_s1_w1_c2_r0_l1_e,483,123,503,165,20,42,1,1,1,2,0,1,e,493,144,1
__re_p1_s1_w1_c3_r0_l1_s,503,123,521,165,18,42,1,1,1,3,0,1,s,512,144,1
__re_p1_s1_w1_c4_r0_l1_c,521,123,539,165,18,42,1,1,1,4,0,1,c,530,144,1
__re_p1_s1_w1_c5_r0_l1_r,539,123,550,165,11,42,1,1,1,5,0,1,r,544.5,144,1
__re_p1_s1_w1_c6_r0_l1_i,551,123,558,165,7,42,1,1,1,6,0,1,i,554.5,144,1
__re_p1_s1_w1_c7_r0_l1_p,559,123,579,165,20,42,1,1,1,7,0,1,p,569,144,1
__re_p1_s1_w1_c8_r0_l1_c,579,123,597,165,18,42,1,1,1,8,0,1,c,588,144,1
__re_p1_s1_w1_c9_r0_l1_i,597,123,604,165,7,42,1,1,1,9,0,1,i,600.5,144,1
__re_p1_s1_w1_c10_r0_l1_o,605,123,625,165,20,42,1,1,1,10,0,1,o,615,144,1
__re_p1_s1_w1_c11_r0_l1_n,625,123,645,165,20,42,1,1,1,11,0,1,n,635,144,1
__re_p1_s1_w1_c12_r0_l1_e,645,123,665,165,20,42,1,1,1,12,0,1,e,655,144,1
__re_p1_s1_w1_c13_r0_l1_s,665,123,690,165,25,42,1,1,1,13,0,1,s,677.5,144,1
__re_p1_s1_w1_c1_r0_l1_m,690,123,726,165,36,42,1,1,1,1,0,1,m,708,144,1
__re_p1_s1_w1_c2_r0_l1_á,727,123,747,165,20,42,1,1,1,2,0,1,á,737,144,1
__re_p1_s1_w1_c3_r0_l1_s,747,123,771,165,24,42,1,1,1,3,0,1,s,759,144,1
__re_p1_s1_w1_c1_r0_l1_a,772,123,798,165,26,42,1,1,1,1,0,1,a,785,144,1
__re_p1_s1_w1_c2_r0_l1_c,799,123,817,165,18,42,1,1,1,2,0,1,c,808,144,1
__re_p1_s1_w1_c3_r0_l1_e,817,123,837,165,20,42,1,1,1,3,0,1,e,827,144,1
__re_p1_s1_w1_c4_r0_l1_r,837,123,848,165,11,42,1,1,1,4,0,1,r,842.5,144,1
__re_p1_s1_w1_c5_r0_l1_t,849,123,859,165,10,42,1,1,1,5,0,1,t,854,144,1
__re_p1_s1_w1_c6_r0_l1_a,859,123,879,165,20,42,1,1,1,6,0,1,a,869,144,1
__re_p1_s1_w1_c7_r0_l1_d,879,123,899,165,20,42,1,1,1,7,0,1,d,889,144,1
